"","CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","LIPID SPECIES LEVEL","LIPID MOLECULAR SPECIES LEVEL","LIPID SN POSITION LEVEL","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","PLATFORM","CHEMICAL_NAME_final","original_index","final_metabolite_id","metabolite_id_origin"
"314",100001054,400,32412,155935,"Lipid","Fatty Acid Metabolism (also BCAA Metabolism)",1791,"NAMED","QWYFHHGCZUCMBN-SECBINFHSA-N","CCCC(O[C@H](CC([O-])=O)C[N+](C)(C)C)=O","butyrylcarnitine (C4)","butyrylcarnitine (C4)",NA,NA,NA,"25576-40-3","184820","HMDB0002013","C02862","439829","Pos Early","butyrylcarnitine_c4",293,"HMDB0002013","COMETS"
"315",100001055,400,33441,156017,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",432,"NAMED","LRCNOZRCYBNMEP-VIFPVBQESA-N","CC(C)C(O[C@@H](CC([O-])=O)C[N+](C)(C)C)=O","isobutyrylcarnitine (C4)","isobutyrylcarnitine (C4)",NA,NA,NA,"25518-49-4",NA,"HMDB0000736",NA,"168379","Pos Early","isobutyrylcarnitine_c4",294,"HMDB0000736","COMETS"
"316",100001063,209,31904,125786,"Lipid","Secondary Bile Acid Metabolism",3571,"NAMED","RHCPKKNRWFXMAT-RRWYKFPJSA-N","[H][C@]1([C@]2(C)[C@](CC1)([H])[C@]3([H])C(C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)=O)[C@H](C)CCC(O)=O","7-ketodeoxycholate","7-ketodeoxycholate",NA,NA,NA,"911-40-0","163659","HMDB0000391",NA,"188292","Neg","7_ketodeoxycholate",295,"HMDB0000391","COMETS"
"317",100001064,209,31912,151471,"Lipid","Secondary Bile Acid Metabolism",3533,"NAMED","XBSQTYHEGZTYJE-PGVYWSLXSA-N","O[C@@H](C[C@]1(CC[C@]([C@@]([H])2CC3)([H])[C@](CC[C@@]2(C)[C@]3([H])[C@@H](CCC(NCC(O)=O)=O)C)4[H])[H])CC[C@@]14C","glycolithocholate","glycolithocholate",NA,NA,NA,"474-74-8","103116","HMDB0000698","C15557","115245","Neg","glycolithocholate",296,"HMDB0000698","COMETS"
"318",100001073,209,31591,126075,"Lipid","Androgenic Steroids",3383,"NAMED","ZMITXKRGXGRMKS-HLUDHZFRSA-N","C[C@]1([C@](CC2)([H])[C@]3([H])CC[C@@]4([H])C[C@H](OS(=O)(O)=O)CC[C@]4(C)[C@@]3([H])CC1)C2=O","androsterone sulfate","androsterone sulfate",NA,NA,NA,"2479-86-9","19988780","HMDB0002759",NA,"159663","Neg","androsterone sulfate",297,"CHEM100002152","COMETS"
"319",100001073,209,31591,126075,"Lipid","Androgenic Steroids",3383,"NAMED","ZMITXKRGXGRMKS-HLUDHZFRSA-N","C[C@]1([C@](CC2)([H])[C@]3([H])CC[C@@]4([H])C[C@H](OS(=O)(O)=O)CC[C@]4(C)[C@@]3([H])CC1)C2=O","androsterone sulfate","androsterone sulfate",NA,NA,NA,"2479-86-9","19988780","HMDB0002759",NA,"159663","Neg","androsterone sulfate",297,"CHEM100002068","COMETS"
"320",100001073,209,31591,126075,"Lipid","Androgenic Steroids",3383,"NAMED","ZMITXKRGXGRMKS-HLUDHZFRSA-N","C[C@]1([C@](CC2)([H])[C@]3([H])CC[C@@]4([H])C[C@H](OS(=O)(O)=O)CC[C@]4(C)[C@@]3([H])CC1)C2=O","androsterone sulfate","androsterone sulfate",NA,NA,NA,"2479-86-9","19988780","HMDB0002759",NA,"159663","Neg","androsterone sulfate",297,"CHEM100001073","COMETS"
"321",100001081,400,31675,155868,"Amino Acid","Glutamate Metabolism",62,"NAMED","HNJBEVLQSNELDL-UHFFFAOYSA-N","O=C1CCCN1","2-pyrrolidinone","2-pyrrolidinone",NA,NA,NA,"616-45-5","11530","HMDB0002039",NA,"12025","Pos Early","2_pyrrolidinone",298,"HMDB0002039","COMETS"
"322",100001083,209,32405,125818,"Amino Acid","Tryptophan Metabolism",311,"NAMED","GOLXRNDWAUTYKT-UHFFFAOYSA-N","OC(CCC1=CNC2=C1C=CC=C2)=O","indolepropionate","indolepropionate",NA,NA,NA,"830-96-6","3613","HMDB0002302",NA,"3744","Neg","indolepropionate",299,"HMDB0002302","COMETS"
"323",100001086,209,31536,125774,"Xenobiotics","Food Component/Plant",5005,"NAMED","KSPQDMRTZZYQLM-UHFFFAOYSA-N","O=C(NCC(O)=O)C1=CC=CO1","N-(2-furoyl)glycine","N-(2-furoyl)glycine",NA,NA,NA,"5657-19-2,5657-19-2","20549","HMDB0000439",NA,"21863","Neg","n_2_furoyl_glycine",300,"HMDB0000439","COMETS"
