"uid_01","hmdb_id","biochemical","original_index","original","contains_original","contains_derived","n_source_rows","multiple_identifiers","multiple_isomers","biochemical_final"
"HMDB0008147","HMDB0008147","PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",301,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pc_18_2_9z_12z_20_4_5z_8z_11z_14z"
"CHEM100009222","","1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*",302,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_linoleoyl_2_arachidonoyl_gpe_18_2_20_4"
"COMP53211","","1-linoleoyl-2-docosapentaenyol-GPC (18:2/22:5n3)*",303,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_linoleoyl_2_docosapentaenyol_gpc_18_2_22_5n3"
"HMDB0008141","HMDB0008141","PC(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))",304,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pc_18_2_9z_12z_18_3_9z_12z_15z"
"HMDB0007856","HMDB0007856","LysoPA(18:2(9Z,12Z)/0:0)",305,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysopa_18_2_9z_12z_0_0"
"HMDB0010386","HMDB0010386","LysoPC(18:2(9Z,12Z))",306,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysopc_18_2_9z_12z"
"HMDB0011507","HMDB0011507","LysoPE(18:2(9Z,12Z)/0:0)",307,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysope_18_2_9z_12z_0_0"
"CHEM100009227","","1-linoleoyl-GPG (18:2)*",308,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_linoleoyl_gpg_18_2"
"HMDB0010386","HMDB0010386","LysoPC(18:2(9Z,12Z))",312,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysopc_18_2_9z_12z"
"HMDB0011507","HMDB0011507","LysoPE(18:2(9Z,12Z)/0:0)",313,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysope_18_2_9z_12z_0_0"
"CHEM100001429","","1-margaroylglycerol (17:0)",315,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_margaroylglycerol_17_0"
"HMDB0012108","HMDB0012108","LysoPC(17:0)",316,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysopc_17_0"
"CHEM100002171","","1-heptadecanoylglycerophosphoethanolamine* (1-margaroylglycerophosphoethanolamine*)",317,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_heptadecanoylglycerophosphoethanolamine_1_margaroylglycerophosphoethanolamine"
"COMP33507","","1-methyl-2-piperidinecarboxylic acid (X - 12092)",318,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_methyl_2_piperidinecarboxylic acid_x_12092"
"CHEM100004434","","1-methyl-beta-carboline-3-carboxylic acid",319,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_methyl_beta_carboline_3_carboxylic acid"
"HMDB0001522","HMDB0001522","Methylguanidine",320,TRUE,TRUE,FALSE,1,FALSE,FALSE,"methylguanidine"
"HMDB0003282","HMDB0003282","1-Methylguanine",321,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_methylguanine"
"HMDB0000898","HMDB0000898","1-Methylhistamine",322,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_methylhistamine"
"HMDB0000001","HMDB0000001","1-Methylhistidine",323,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_methylhistidine"
"HMDB0002820","HMDB0002820","Methylimidazoleacetic acid",324,TRUE,TRUE,FALSE,1,FALSE,FALSE,"methylimidazoleacetic acid"
"HMDB0000699","HMDB0000699","1-Methylnicotinamide",325,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_methylnicotinamide"
"HMDB0003099","HMDB0003099","1-Methyluric acid",326,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_methyluric acid"
"HMDB0010738","HMDB0010738","1-Methylxanthine",327,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_methylxanthine"
"CHEM100002858","","1-myristoleoylglycerophosphocholine (14:1) *",328,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_myristoleoylglycerophosphocholine_14_1_"
"HMDB0011561","HMDB0011561","MG(14:0/0:0/0:0)",330,TRUE,TRUE,FALSE,1,FALSE,FALSE,"mg_14_0_0_0_0_0"
"HMDB0011561","HMDB0011561","MG(14:0/0:0/0:0)",331,TRUE,TRUE,FALSE,1,FALSE,FALSE,"mg_14_0_0_0_0_0"
"HMDB0010379","HMDB0010379","LysoPC(14:0)",332,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysopc_14_0"
"HMDB0011500","HMDB0011500","LysoPE(14:0/0:0)",333,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysope_14_0_0_0"
"CHEM100005353","","1-nonadecanoylglycerophosphocholine(19:0)*",334,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_nonadecanoylglycerophosphocholine_19_0"
"CHEM100009219","HMDB0009069","PE(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))",335,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pe_18_1_9z_20_4_5z_8z_11z_14z"
"CHEM100002989","HMDB0007219","DG(18:1(9Z)/18:2(9Z,12Z)/0:0)",336,TRUE,TRUE,FALSE,1,FALSE,FALSE,"dg_18_1_9z_18_2_9z_12z_0_0"
"CHEM100008981","","1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*",337,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_oleoyl_2_linoleoyl_gpc_18_1_18_2"
"HMDB0005349","HMDB0005349","PE(18:1(9Z)/18:2(9Z,12Z))",338,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pe_18_1_9z_18_2_9z_12z"
"COMP52451","","1-oleoyl-2-linoleoyl-GPI (18:1/18:2)*",339,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_oleoyl_2_linoleoyl_gpi_18_1_18_2"
"CHEM100002990","HMDB0007219","DG(18:1(9Z)/18:2(9Z,12Z)/0:0)",340,TRUE,TRUE,FALSE,1,FALSE,FALSE,"dg_18_1_9z_18_2_9z_12z_0_0"
"HMDB0002815","HMDB0002815","LysoPC(18:1(9Z))",342,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysopc_18_1_9z"
"HMDB0011506","HMDB0011506","LysoPE(18:1(9Z)/0:0)",343,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysope_18_1_9z_0_0"
"HMDB0011567","HMDB0011567","MG(18:1(9Z)/0:0/0:0)",346,TRUE,TRUE,FALSE,1,FALSE,FALSE,"mg_18_1_9z_0_0_0_0"
"HMDB0011567","HMDB0011567","MG(18:1(9Z)/0:0/0:0)",347,TRUE,TRUE,FALSE,1,FALSE,FALSE,"mg_18_1_9z_0_0_0_0"
"HMDB0002815","HMDB0002815","LysoPC(18:1(9Z))",349,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysopc_18_1_9z"
"HMDB0011506","HMDB0011506","LysoPE(18:1(9Z)/0:0)",350,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysope_18_1_9z_0_0"
"HMDB0008008","HMDB0008008","PC(16:1(9Z)/18:3(9Z,12Z,15Z))",354,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pc_16_1_9z_18_3_9z_12z_15z"
"CHEM100009075","","1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*",355,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_palmitoleoyl_2_linoleoyl_gpc_16_1_18_2"
"HMDB0007131","HMDB0005222","DG(16:1(9Z)/18:1(9Z)/0:0)",356,TRUE,TRUE,FALSE,1,FALSE,FALSE,"dg_16_1_9z_18_1_9z_0_0"
"CHEM100009054","","1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*",357,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_palmitoleoyl_3_oleoyl_glycerol_16_1_18_1"
"CHEM100008952","HMDB0011565","MG(16:1(9Z)/0:0/0:0)",358,TRUE,TRUE,FALSE,1,FALSE,FALSE,"mg_16_1_9z_0_0_0_0"
"CHEM100001784","","1-palmitoleoylglycerophosphoethanolamine*",359,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_palmitoleoylglycerophosphoethanolamine"
"CHEM100001511","HMDB0010383","LysoPC(16:1(9Z))",360,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysopc_16_1_9z"
"CHEM100001786","","1-palmitoleoylglycerophosphoinositol*",361,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_palmitoleoylglycerophosphoinositol"
"HMDB0007982","HMDB0007982","PC(16:0/20:4(5Z,8Z,11Z,14Z))",362,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pc_16_0_20_4_5z_8z_11z_14z"
"HMDB0005323","HMDB0005323","PE(16:0/20:4(5Z,8Z,11Z,14Z))",363,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pe_16_0_20_4_5z_8z_11z_14z"
"HMDB0009789","HMDB0009789","PI(16:0/20:4(5Z,8Z,11Z,14Z))",364,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pi_16_0_20_4_5z_8z_11z_14z"
"HMDB0007974","HMDB0007974","PC(16:0/18:3(6Z,9Z,12Z))",365,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pc_16_0_18_3_6z_9z_12z"
"HMDB0007975","HMDB0007975","PC(16:0/18:3(9Z,12Z,15Z))",366,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pc_16_0_18_3_9z_12z_15z"
"HMDB0007103","HMDB0005207","DG(16:0/18:2(9Z,12Z)/0:0)",367,TRUE,TRUE,FALSE,1,FALSE,FALSE,"dg_16_0_18_2_9z_12z_0_0"
"HMDB0007973","HMDB0007973","PC(16:0/18:2(9Z,12Z))",368,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pc_16_0_18_2_9z_12z"
"HMDB0005322","HMDB0005322","PE(16:0/18:2(9Z,12Z))",369,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pe_16_0_18_2_9z_12z"
"HMDB0009784","HMDB0009784","PI(16:0/18:2(9Z,12Z))",370,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pi_16_0_18_2_9z_12z"
"HMDB0007972","HMDB0007972","PC(16:0/18:1(9Z))",371,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pc_16_0_18_1_9z"
"HMDB0005320","HMDB0005320","PE(16:0/18:1(9Z))",372,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pe_16_0_18_1_9z"
"HMDB0009783","HMDB0009783","PI(16:0/18:1(9Z))",373,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pi_16_0_18_1_9z"
"HMDB0007969","HMDB0007969","PC(16:0/16:1(9Z))",374,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pc_16_0_16_1_9z"
"HMDB0007970","HMDB0007970","PC(16:0/18:0)",375,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pc_16_0_18_0"
"HMDB0010382","HMDB0010382","LysoPC(16:0)",376,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysopc_16_0"
"HMDB0011503","HMDB0011503","LysoPE(16:0/0:0)",377,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysope_16_0_0_0"
"HMDB0061695","HMDB0061695","1-Palmitoylglycerophosphoinositol",379,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_palmitoylglycerophosphoinositol"
"HMDB0031074","HMDB0031074","Glycerol 1-hexadecanoate",380,TRUE,TRUE,FALSE,1,FALSE,FALSE,"glycerol 1_hexadecanoate"
"HMDB0031074","HMDB0031074","Glycerol 1-hexadecanoate",381,TRUE,TRUE,FALSE,1,FALSE,FALSE,"glycerol 1_hexadecanoate"
"HMDB0000327","HMDB0000327","LysoPA(16:0/0:0)",382,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysopa_16_0_0_0"
