"","input_metabolite_name_final","original_index","contains_original","contains_derived","n_source_rows","input_hmdb_id","metabolite_id","input_pubchem","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers","multiple_isomers","original","MLR_Harmonized_Name"
"1","10_heptadecenoate_17_1n7","7704",TRUE,FALSE,1,"HMDB0060038","HMDB60038","5312435","10-heptadecenoate (17:1n7)","4471860",NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid"
"2","10_heptadecenoic_acid_z","7705",TRUE,FALSE,1,"HMDB0060038","HMDB60038",NA,"10-Heptadecenoic acid. (Z)-",NA,NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid"
"3","10_nitrolinoleic_acid","4350",TRUE,FALSE,1,NA,"HMDB0005049","5282259","10-nitrolinoleic acid",NA,NA,"LELVHAQTWXTCLY-XYWKCAQWSA-N",NA,FALSE,FALSE,NA,NA
"4","10_nitrooleic_acid","5242",TRUE,FALSE,1,NA,"HMDB0062737","24836820","10-nitrooleic acid",NA,NA,"WRADPCFZZWXOTI-BMRADRMJSA-N",NA,FALSE,FALSE,NA,NA
"5","10_nonadecenoate_19_1n9","7502",TRUE,FALSE,1,"HMDB0013622","HMDB13622","5312513","10-nonadecenoate (19:1n9)","4471938",NA,NA,NA,FALSE,FALSE,NA,"Nonadeca-10Z-enoic acid"
"6","10_undecenoate_11_1n1","7645",TRUE,FALSE,1,"HMDB0033724","HMDB33724","14891","10-undecenoate (11:1n1)","10771160",NA,NA,NA,FALSE,FALSE,NA,"10-Hendecenoic acid"
"7","11_12_dihydroxyicosa_5_8_14_trienoic_acid","4311",TRUE,FALSE,1,NA,"HMDB0002314","5283146","11,12-Dihydroxyicosa-5,8,14-trienoic acid",NA,NA,"LRPPQRCHCPFBPE-KROJNAHFSA-N",NA,FALSE,FALSE,NA,"11,12-DiHETrE"
"8","11_12_epoxy_5_8_14_17_eicosatetraenoic_acid","7883",TRUE,FALSE,1,NA,"PUBCHEM16061087","16061087","11(12)-epoxy-5,8,14,17- eicosatetraenoic acid",NA,NA,"QHOKDYBJJBDJGY-BVILWSOJSA-N",NA,FALSE,FALSE,NA,"11(12)-EpETE"
"9","11_12_epoxyeicosa_5_8_14_trienoic_acid","7918",TRUE,FALSE,1,NA,"PUBCHEM5283204","5283204","11,12-Epoxyeicosa-5,8,14-trienoic acid",NA,NA,"DXOYQVHGIODESM-KROJNAHFSA-N",NA,FALSE,FALSE,NA,"11(12)-EpETrE"
"10","11_dehydrocorticosterone","1899",TRUE,FALSE,1,NA,"CHEM100002781",NA,"11-dehydrocorticosterone",NA,NA,NA,NA,FALSE,FALSE,NA,"Dehydrocorticosterone"
"11","11_hete","6358",TRUE,FALSE,1,"HMDB0004682","HMDB04682",NA,"11-HETE",NA,NA,NA,NA,FALSE,FALSE,NA,"11R-HETE"
"12","11_hydroxy_14_15_epoxyeicosatrienoic_acid","4321",TRUE,FALSE,1,NA,"HMDB0004264","5283205","11-Hydroxy-14,15-epoxyeicosatrienoic acid",NA,NA,"JBSCUHKPLGKXKH-ILYOTBPNSA-N",NA,FALSE,FALSE,NA,"14(15)-EpETrE"
"13","11_hydroxy_arachidonic_acid","6359",TRUE,FALSE,1,NA,"HMDB04682","5312981","11-Hydroxy-arachidonic acid",NA,NA,"GCZRCCHPLVMMJE-RSPKXIRXSA-N",NA,FALSE,FALSE,NA,NA
"14","11_ketoetiocholanolone_glucuronide","2095",TRUE,FALSE,1,NA,"CHEM100005402",NA,"11-ketoetiocholanolone glucuronide",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"15","11_undecanedicarboxylic_acid","6117",TRUE,FALSE,1,NA,"HMDB02327",NA,"__11_undecanedicarboxylic_acid",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"16","11beta_hydroxyandrosterone_glucuronide","3922",TRUE,FALSE,1,NA,"COMP63251",NA,"11beta-hydroxyandrosterone glucuronide",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"17","12_13_dihome","6363",TRUE,FALSE,1,"HMDB0004705","HMDB04705","10236635","12,13-DiHOME","8412123","C14829",NA,NA,FALSE,FALSE,NA,"12,13-DiHOME"
"18","12_13_dihydroxyoctadec_9_enoic_acid","6364",TRUE,FALSE,1,NA,"HMDB04705","10236635","12,13-dihydroxyoctadec-9-enoic acid",NA,NA,"CQSLTKIXAJTQGA-FLIBITNWSA-N",NA,FALSE,FALSE,NA,"12,13-DiHOME"
"19","12_13_dihydroxyoctadeca_9_15_dienoic_acid","4476",TRUE,FALSE,1,NA,"HMDB0010201","16061067","12,13-dihydroxyoctadeca-9,15-dienoic acid",NA,NA,"RGRKFKRAFZJQMS-OOHFSOINSA-N",NA,FALSE,FALSE,NA,"12,13-DiHODE"
"20","12_13_epoxy_9_15_octadecadienoic_acid","4475",TRUE,FALSE,1,NA,"HMDB0010200","16061061","12(13)-epoxy-9,15-octadecadienoic acid",NA,NA,"BKKGUKSHPCTUGE-OOHFSOINSA-N",NA,FALSE,FALSE,NA,"alpha-12(13)-EpODE"
"21","12_13_epoxy_9_octadecenoic_acid","4340",TRUE,FALSE,1,NA,"HMDB0004702","5356421","12,13-epoxy-9-octadecenoic acid",NA,NA,"CCPPLLJZDQAOHD-FLIBITNWSA-N",NA,FALSE,FALSE,NA,"12(13)-EpOME"
"22","12_13_hydroxyoctadec_9_z_enoate","8099",FALSE,TRUE,NA,"HMDB0004705","HMDB04705","10236635","12,13-hydroxyoctadec-9(Z)-enoate",NA,"","",NA,TRUE,FALSE,FALSE,"12,13-DiHOME"
"23","12_13_hydroxyoctadec_9_z_enoate","8099",FALSE,TRUE,1,"HMDB0004705","HMDB04705","10236640","12,13-hydroxyoctadec-9(Z)-enoate",NA,NA,NA,NA,TRUE,FALSE,NA,"12,13-DiHOME"
"24","12_13_hydroxyoctadec_9_z_enoate","6365",TRUE,FALSE,NA,NA,"HMDB04705",NA,"12,13-hydroxyoctadec-9(Z)-enoate",NA,NA,NA,NA,FALSE,FALSE,TRUE,NA
"25","12_hete","6541",TRUE,FALSE,1,"HMDB0006111","HMDB06111","5312983","12-HETE",NA,NA,NA,NA,FALSE,FALSE,NA,"12S-HETE"
"26","12_hhtre","7279",TRUE,FALSE,1,"HMDB0012535","HMDB12535","5283141","12-HHTrE",NA,NA,NA,NA,FALSE,FALSE,NA,"12S-HHTrE"
"27","12_hydroxy_5_8_10_14_17_eicosapentaenoic_acid","7917",TRUE,FALSE,1,NA,"PUBCHEM5283191","5283191","12-Hydroxy-5,8,10,14,17-eicosapentaenoic acid",NA,NA,"MCRJLMXYVFDXLS-UOLHMMFFSA-N",NA,FALSE,FALSE,NA,"12S-HEPE"
"28","12_hydroxy_5_8_10_14_eicosatetraenoic_acid","7916",TRUE,FALSE,1,NA,"PUBCHEM5283155","5283155","12-Hydroxy-5,8,10,14-eicosatetraenoic acid",NA,NA,"ZNHVWPKMFKADKW-LQWMCKPYSA-N",NA,FALSE,FALSE,NA,"12S-HETE"
"29","12_sulfoxy_octadecanoic_acid","2060",TRUE,FALSE,1,NA,"CHEM100004530",NA,"12-(sulfoxy)octadecanoic acid",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"30","13_carboxy_a_tocopherol_glucuronide","7280",TRUE,FALSE,1,"HMDB0012557","HMDB12557",NA,"13â€™-carboxy-a-tocopherol-glucuronide",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"31","13_hode_9_hode","1880",TRUE,FALSE,1,NA,"CHEM100002196","43013","13-HODE + 9-HODE",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"32","13_hydroxyoctadeca_9_11_15_trienoic_acid","4477",TRUE,FALSE,1,NA,"HMDB0010203","10469728","13-hydroxyoctadeca-9,11,15-trienoic acid",NA,NA,"KLLGGGQNRTVBSU-JDTPQGGVSA-N",NA,FALSE,FALSE,NA,"13-HOTE"
"33","13_hydroxyoctadecadienoic_acid","6357",TRUE,FALSE,1,NA,"HMDB04667","6443013","13-Hydroxyoctadecadienoic acid",NA,NA,"HNICUWMFWZBIFP-IRQZEAMPSA-N",NA,FALSE,FALSE,NA,NA
"34","13_ketooctadeca_9_11_dienoic_acid","4336",TRUE,FALSE,1,NA,"HMDB0004668","6446027","13-ketooctadeca-9,11-dienoic acid",NA,NA,"JHXAZBBVQSRKJR-BSZOFBHHSA-N",NA,FALSE,FALSE,NA,"13-OxoODE"
"35","13_methylmyristic_acid","1891",TRUE,FALSE,1,NA,"CHEM100002344","151014","13-methylmyristic acid",NA,NA,NA,NA,FALSE,FALSE,NA,"Isopentadecylic acid"
"36","14_15_dihydroxyeicosa_5_8_11_17_tetraenoic_acid","4478",TRUE,FALSE,1,NA,"HMDB0010204","16061119","14,15-dihydroxyeicosa-5,8,11,17-tetraenoic acid",NA,NA,"BLWCDFIELVFRJY-QXBXTPPVSA-N",NA,FALSE,FALSE,NA,"14,15-DiHETE"
"37","14_15_dihydroxyeicosa_5_8_11_trienoic_acid","4309",TRUE,FALSE,1,NA,"HMDB0002265","5283147","14,15-dihydroxyeicosa-5,8,11-trienoic acid",NA,NA,"SYAWGTIVOGUZMM-ILYOTBPNSA-N",NA,FALSE,FALSE,NA,"14,15-DiHETrE"
"38","14_15_epoxy_5_8_11_17_eicosatetraenoic_acid","4479",TRUE,FALSE,1,NA,"HMDB0010205","16061088","14(15)-epoxy-5,8,11,17-eicosatetraenoic acid",NA,NA,"RGZIXZYRGZWDMI-QXBXTPPVSA-N",NA,FALSE,FALSE,NA,"14(15)-EpETE"
"39","14_hdohe","75",FALSE,TRUE,1,NA,"CHEM100009278",NA,"14-HDoHE",NA,NA,NA,NA,FALSE,TRUE,NA,NA
"40","14_hdohe_17_hdohe","75",TRUE,FALSE,1,NA,"CHEM100009278",NA,"14-HDoHE/17-HDoHE",NA,NA,NA,NA,FALSE,TRUE,NA,NA
"41","14_hydroxydocosa_4_7_10_12_16_19_hexaenoic_acid","7880",TRUE,FALSE,1,NA,"PUBCHEM11566378","11566378","14-hydroxydocosa-4,7,10,12,16,19-hexaenoic acid",NA,NA,"ZNEBXONKCYFJAF-BGKMTWLOSA-N",NA,FALSE,FALSE,NA,"14-HDoHE"
"42","14_methylpalmitate_a17_0_or_i17_0","43",FALSE,TRUE,1,NA,"CHEM100002945","17903417","(14) -methylpalmitate (a17:0 or i17:0)",NA,NA,NA,NA,FALSE,TRUE,NA,NA
"43","14_or_15_methylpalmitate_a17_0_or_i17_0","43",TRUE,FALSE,1,NA,"CHEM100002945","17903417","(14 or 15)-methylpalmitate (a17:0 or i17:0)",NA,NA,NA,NA,FALSE,TRUE,NA,NA
"44","15_0_anacardic_acid","1996",TRUE,FALSE,1,NA,"CHEM100003600","167551","(15:0)-anacardic acid",NA,NA,NA,NA,FALSE,FALSE,NA,"2-Hydroxy-6-pentadecylbenzoic acid"
"45","15_16_dihydroxyoctadeca_9_12_dienoic_acid","4481",TRUE,FALSE,1,NA,"HMDB0010208","16061068","15,16-dihydroxyoctadeca-9,12-dienoic acid",NA,NA,"LKLLJYJTYPVCID-OHPMOLHNSA-N",NA,FALSE,FALSE,NA,"15,16-DiHODE"
"46","15_16_epoxy_9_12_octadecadienoic_acid","4480",TRUE,FALSE,1,NA,"HMDB0010206","16061062","15(16)-epoxy-9,12-octadecadienoic acid",NA,NA,"HKSDVVJONLXYKL-OHPMOLHNSA-N",NA,FALSE,FALSE,NA,"alpha-15(16)-EpODE"
"47","15_2_anacardic_acid","7649",TRUE,FALSE,1,"HMDB0033896","HMDB33896","11824131","(15:2)-anacardic acid",NA,NA,NA,NA,FALSE,FALSE,NA,"Anacardic acid C15:2"
"48","15_deoxy_delta_12_14_prostaglandin_j2","4351",TRUE,FALSE,1,NA,"HMDB0005079","5311211","15-Deoxy-delta-12,14-Prostaglandin J2",NA,NA,"VHRUMKCAEVRUBK-GODQJPCRSA-N",NA,FALSE,FALSE,NA,"15-Deoxy-delta-12,14-PGJ2"
"49","15_hete","6051",TRUE,FALSE,1,"HMDB0002110","HMDB02110","5280724","15-HETE",NA,NA,NA,NA,FALSE,FALSE,NA,"15S-HETE"
"50","15_hete","6052",TRUE,FALSE,1,"HMDB0003876","HMDB02110",NA,"15-HETE",NA,NA,NA,NA,FALSE,FALSE,NA,"15S-HETE"
"51","15_hydroxyeicosa_5_8_11_13_17_pentaenoic_acid","7885",TRUE,FALSE,1,NA,"PUBCHEM16061131","16061131","15-hydroxyeicosa-5,8,11,13,17-pentaenoic acid",NA,NA,"WLKCSMCLEKGITB-XWJJKCKWSA-N",NA,FALSE,FALSE,NA,"15-HEPE"
"52","15_hydroxyeicosa_5_8_11_13_tetraenoic_acid","6053",TRUE,FALSE,1,NA,"HMDB02110","5280724","15-hydroxyeicosa-5,8,11,13-tetraenoic acid",NA,NA,"JSFATNQSLKRBCI-VAEKSGALSA-N",NA,FALSE,FALSE,NA,"15S-HETE"
"53","15_keto_prostaglandin_e2","4315",TRUE,FALSE,1,NA,"HMDB0003175","5280719","15-Keto-prostaglandin E2",NA,NA,"YRTJDWROBKPZNV-KMXMBPPJSA-N",NA,FALSE,FALSE,NA,"15-Keto-PGE2"
"54","15_ketoeicosa_5_8_11_13_tetraenoic_acid","4482",TRUE,FALSE,1,NA,"HMDB0010210","5280701","15-ketoeicosa-5,8,11,13-tetraenoic acid",NA,NA,"YGJTUEISKATQSM-USWFWKISSA-N",NA,FALSE,FALSE,NA,"15-Oxo-ETE"
"55","15_methylpalmitate","1903",TRUE,FALSE,1,NA,"CHEM100002945","17903417","15-methylpalmitate",NA,NA,NA,NA,FALSE,FALSE,NA,"Methyl hexadecanoate"
"56","15_methylpalmitate_a17_0_or_i17_0","43",FALSE,TRUE,1,NA,"CHEM100002945","17903417","(15) -methylpalmitate (a17:0 or i17:0)",NA,NA,NA,NA,FALSE,TRUE,NA,NA
"57","15_methylpalmitate_i17_0","1904",TRUE,FALSE,1,NA,"CHEM100002945","17903417","15-methylpalmitate (i17:0)",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"58","15_methylpalmitate_isobar_with_2_methylpalmitate","1905",TRUE,FALSE,1,NA,"CHEM100002945","17903417","15-methylpalmitate (isobar with 2-methylpalmitate)",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"59","16_17_epoxy_4_7_10_13_19_docosapentaenoic_acid","4578",TRUE,FALSE,1,NA,"HMDB0013621","14392758","16(17)-epoxy-4,7,10,13,19-docosapentaenoic acid",NA,NA,"BCTXZWCPBLWCRV-ZYADFMMDSA-N",NA,FALSE,FALSE,NA,"16(17)-EpDPE"
"60","16_hydroxypalmitate","6550",TRUE,FALSE,1,"HMDB0006294","HMDB06294","10466","16-hydroxypalmitate","10034","C18218",NA,NA,FALSE,FALSE,NA,"Juniperic acid"
"61","16_methylstearate_a19_0_or_i19_0","7658",FALSE,TRUE,1,"HMDB0037397","HMDB37397","3083779","(16) -methylstearate (a19:0 or i19:0)",NA,NA,NA,NA,FALSE,TRUE,NA,"Xi-17-Methyloctadecanoic acid"
"62","16_or_17_methylstearate_a19_0_or_i19_0","7658",TRUE,FALSE,1,"HMDB0037397","HMDB37397","3083779","(16 or 17)-methylstearate (a19:0 or i19:0)",NA,NA,NA,NA,FALSE,TRUE,NA,"Xi-17-Methyloctadecanoic acid"
"63","16a_hydroxy_dhea_3_sulfate","1866",TRUE,FALSE,1,NA,"CHEM100002126",NA,"16a-hydroxy DHEA 3-sulfate",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"64","17_18_dihydroxyeicosa_5_8_11_14_tetraenoic_acid","6870",TRUE,FALSE,1,NA,"HMDB10211","16061120","17,18-dihydroxyeicosa-5,8,11,14-tetraenoic acid",NA,NA,"XYDVGNAQQFWZEF-JPURVOHMSA-N",NA,FALSE,FALSE,NA,"17,18-DiHETE"
"65","17_18_epoxy_5_8_11_14_eicosatetraenoic_acid","4483",TRUE,FALSE,1,NA,"HMDB0010212","16061089","17,18-Epoxy-5,8,11,14-eicosatetraenoic acid",NA,NA,"GPQVVJQEBXAKBJ-JPURVOHMSA-N",NA,FALSE,FALSE,NA,"17(18)-EpETE"
"66","17_hdohe","75",FALSE,TRUE,1,NA,"CHEM100009278",NA,"17-HDoHE",NA,NA,NA,NA,FALSE,TRUE,NA,NA
"67","17_hydroxy_4_7_10_13_15_19_docosahexaenoic_acid","4484",TRUE,FALSE,1,NA,"HMDB0010213","6439179","17-hydroxy-4,7,10,13,15,19-docosahexaenoic acid",NA,NA,"SWTYBBUBEPPYCX-VIIQGJSXSA-N",NA,FALSE,FALSE,NA,"17-HDoHE"
"68","17_methylstearate","7659",TRUE,FALSE,1,"HMDB0037397","HMDB37397","3083779","17-methylstearate","2340933",NA,NA,NA,FALSE,FALSE,NA,"Xi-17-Methyloctadecanoic acid"
"69","17_methylstearate_a19_0_or_i19_0","7658",FALSE,TRUE,1,"HMDB0037397","HMDB37397","3083779","(17) -methylstearate (a19:0 or i19:0)",NA,NA,NA,NA,FALSE,TRUE,NA,"Xi-17-Methyloctadecanoic acid"
"70","17_methylstearate_i19_0","7660",TRUE,FALSE,1,"HMDB0037397","HMDB37397","3083779","17-methylstearate (i19:0)",NA,NA,NA,NA,FALSE,FALSE,NA,"Xi-17-Methyloctadecanoic acid"
"71","17alpha_hydroxypregnanolone_glucuronide","2096",TRUE,FALSE,1,NA,"CHEM100005418",NA,"17alpha-hydroxypregnanolone glucuronide",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"72","17alpha_hydroxypregnenolone_3_sulfate","5110",TRUE,FALSE,1,"HMDB0000416","HMDB00416","152971","17alpha-hydroxypregnenolone 3-sulfate",NA,NA,NA,NA,FALSE,FALSE,NA,"17-Hydroxypregnenolone sulfate"
"73","17alpha_hydroxypregnenolone_sulfate","5111",TRUE,FALSE,1,"HMDB0000416","HMDB00416","152971","17alpha-hydroxypregnenolone sulfate","134824",NA,NA,NA,FALSE,FALSE,NA,"17-Hydroxypregnenolone sulfate"
"74","17alpha_hydroxyprogesterone","3593",TRUE,FALSE,1,"HMDB0000374","COMP5969","6238","17alpha-hydroxyprogesterone",NA,NA,NA,NA,FALSE,FALSE,NA,"17alpha-Hydroxyprogesterone"
"75","17beta_diol_disulfate","5157",TRUE,FALSE,1,"HMDB0000493","HMDB00493",NA,"17beta-diol disulfate",NA,"Sterol/Steroid",NA,NA,FALSE,FALSE,NA,"5alpha-Androstane-3beta,17beta-diol"
"76","17beta_diol_disulfate_1","1818",TRUE,FALSE,1,"HMDB0003818","CHEM100001992",NA,"17beta-diol disulfate 1*",NA,"Sterol/Steroid",NA,NA,FALSE,FALSE,NA,"Androstenediol"
"77","17beta_diol_disulfate_2","1822",TRUE,FALSE,1,"HMDB0003818","CHEM100001994",NA,"17beta-diol disulfate 2*",NA,"Sterol/Steroid",NA,NA,FALSE,FALSE,NA,"Androstenediol"
"78","17beta_estradiol","2431",TRUE,FALSE,1,"HMDB0000151","COMP17788","5757","17beta-estradiol",NA,NA,NA,NA,FALSE,FALSE,NA,"beta-Estradiol"
"79","17beta_estradiol_3_sulfate","2469",TRUE,FALSE,1,"HMDB0004448","COMP27561","66416","17beta-estradiol 3-sulfate",NA,NA,NA,NA,FALSE,FALSE,NA,"Estradiol-17beta 3-sulfate"
"80","18_2_linoleic_acid","878|880|881",TRUE,FALSE,3,NA,"BM00199",NA,"18:2, linoleic acid",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"81","18_2_linoleic_acid_la","879",TRUE,FALSE,1,NA,"BM00199",NA,"18:2, linoleic acid ( LA )",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"82","18_3_ethyloxiran_2_yl_octadeca_4_7_10_13_16_pentaenoic_acid","4577",TRUE,FALSE,1,NA,"HMDB0013620","11631565","18-(3-ethyloxiran-2-yl)octadeca-4,7,10,13,16-pentaenoic acid",NA,NA,"OSXOPUBJJDUAOJ-MBYQGORISA-N",NA,FALSE,FALSE,NA,"19(20)-EpDPE"
"83","18_3n3","5842",FALSE,TRUE,1,"HMDB0001388","HMDB01388",NA,"(18:3n3) ]",NA,"Lipid",NA,NA,FALSE,TRUE,NA,"alpha-Linolenic acid"
"84","18_3n3_or_6","5842",TRUE,FALSE,1,"HMDB0001388","HMDB01388",NA,"(18:3n3 or 6)]",NA,"Lipid",NA,NA,FALSE,TRUE,NA,"alpha-Linolenic acid"
"85","18_3n6","5842",FALSE,TRUE,1,"HMDB0001388","HMDB01388",NA,"(18:3n6) ]",NA,"Lipid",NA,NA,FALSE,TRUE,NA,"alpha-Linolenic acid"
"86","18_hydroxycorticosterone","1895",TRUE,FALSE,1,NA,"CHEM100002445",NA,"18-hydroxycorticosterone",NA,NA,NA,NA,FALSE,FALSE,NA,"Hydroxycorticosterone"
"87","19_20_dihydroxydocosa_4_7_10_13_16_pentaenoic_acid","4485",TRUE,FALSE,1,NA,"HMDB0010214","16061148","19,20-dihydroxydocosa-4,7,10,13,16-pentaenoic acid",NA,NA,"FFXKPSNQCPNORO-MBYQGORISA-N",NA,FALSE,FALSE,NA,"19,20-DiHDPE"
"88","1_1_enyl_oleoyl_2_docosahexaenoyl_gpe_p_18_1_22_6","3555",TRUE,FALSE,1,NA,"COMP55037",NA,"1-(1-enyl-oleoyl)-2-docosahexaenoyl-GPE (P-18:1/22:6)*","24769344",NA,NA,NA,FALSE,FALSE,NA,NA
"89","1_1_enyl_oleoyl_gpc_p_18_1","6976",TRUE,FALSE,1,NA,"HMDB10408",NA,"1-(1-enyl-oleoyl)-GPC (P-18:1)*",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"90","1_1_enyl_oleoyl_gpe_p_18_1","2085",TRUE,FALSE,1,NA,"CHEM100005372",NA,"1-(1-enyl-oleoyl)-GPE (P-18:1)*",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"91","1_1_enyl_palmitoyl_2_arachidonoyl_gpc_p_16_0_20_4","7048",TRUE,FALSE,1,"HMDB0011220","HMDB11220",NA,"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*","24767495",NA,NA,NA,FALSE,FALSE,NA,"PC P-16:0/20:4(5Z,8Z,11Z,14Z)"
"92","1_1_enyl_palmitoyl_2_arachidonoyl_gpe_p_16_0_20_4","7085",TRUE,FALSE,1,"HMDB0011352","HMDB11352",NA,"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*","24769238",NA,NA,NA,FALSE,FALSE,NA,"PE P-16:0/20:4(5Z,8Z,11Z,14Z)"
"93","1_1_enyl_palmitoyl_2_docosahexaenoyl_gpc_p_16_0_22_6","2232",TRUE,FALSE,1,NA,"CHEM100009008",NA,"1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPC (P-16:0/22:6)*",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"94","1_1_enyl_palmitoyl_2_docosahexaenoyl_gpe_p_16_0_22_6","2229",TRUE,FALSE,1,NA,"CHEM100009000","5283497","1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6)*","4446616",NA,NA,NA,FALSE,FALSE,NA,"PE P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)"
"95","1_1_enyl_palmitoyl_2_eicosapentaenoyl_gpe_p_16_0_20_5","3439",TRUE,FALSE,1,NA,"COMP52070_55008",NA,"1-(1-enyl-palmitoyl)-2-eicosapentaenoyl-GPE (P-16:0/20:5)*","24769240",NA,NA,NA,FALSE,FALSE,NA,NA
"96","1_1_enyl_palmitoyl_2_linoleoyl_gpc_p_16_0_18_2","7041",TRUE,FALSE,1,"HMDB0011211","HMDB11211",NA,"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*","24767486",NA,NA,NA,FALSE,FALSE,NA,"PC P-16:0/18:2(9Z,12Z)"
"97","1_1_enyl_palmitoyl_2_linoleoyl_gpe_p_16_0_18_2","7082",TRUE,FALSE,1,"HMDB0011343","HMDB11343",NA,"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*","24769229",NA,NA,NA,FALSE,FALSE,NA,"PE P-16:0/18:2(9Z,12Z)"
"98","1_1_enyl_palmitoyl_2_myristoyl_gpc_p_16_0_14_0","3469",TRUE,FALSE,1,NA,"COMP52715",NA,"1-(1-enyl-palmitoyl)-2-myristoyl-GPC (P-16:0/14:0)*","24767479",NA,NA,NA,FALSE,FALSE,NA,NA
"99","1_1_enyl_palmitoyl_2_oleoyl_gpc_p_16_0_18_1","2231",TRUE,FALSE,1,NA,"CHEM100009007",NA,"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"100","1_1_enyl_palmitoyl_2_oleoyl_gpe_p_16_0_18_1","7081",TRUE,FALSE,1,"HMDB0011342","HMDB11342",NA,"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*","24769228",NA,NA,NA,FALSE,FALSE,NA,"PE P-16:0/18:1(9Z)"
"101","1_1_enyl_palmitoyl_2_palmitoleoyl_gpc_p_16_0_16_1","7036",TRUE,FALSE,1,"HMDB0011207","HMDB11207",NA,"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*","24767482",NA,NA,NA,FALSE,FALSE,NA,"PC P-16:0/16:1(9Z)"
"102","1_1_enyl_palmitoyl_2_palmitoyl_gpc_p_16_0_16_0","7035",TRUE,FALSE,1,"HMDB0011206","HMDB11206","11146967","1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*","9322076",NA,NA,NA,FALSE,FALSE,NA,"PC P-16:0/16:0"
"103","1_1_enyl_palmitoyl_gpc_p_16_0","6973",TRUE,FALSE,1,"HMDB0010407","HMDB10407","10917802","1-(1-enyl-palmitoyl)-GPC (P-16:0)*","9093054",NA,NA,NA,FALSE,FALSE,NA,"LPC O-16:1"
"104","1_1_enyl_palmitoyl_gpc_p_16_0","6973",TRUE,FALSE,1,"HMDB0010407","HMDB10407","10917802","1-(1-enyl-palmitoyl)-GPC (P-16:0)*","9093054",NA,NA,NA,FALSE,FALSE,NA,"LPC P-16:0"
"105","1_1_enyl_palmitoyl_gpc_p_16_0","6973",TRUE,FALSE,1,"HMDB0010407","HMDB10407","10917802","1-(1-enyl-palmitoyl)-GPC (P-16:0)*","9093054",NA,NA,NA,FALSE,FALSE,NA,"LPC P-16:0 or LPC O-16:1"
"106","1_1_enyl_palmitoyl_gpc_p_16_0","6973",TRUE,FALSE,1,"HMDB0010407","HMDB10407","10917802","1-(1-enyl-palmitoyl)-GPC (P-16:0)*","9093054",NA,NA,NA,FALSE,FALSE,NA,"PC p-16:0/0:0*"
"107","1_1_enyl_palmitoyl_gpe_p_16_0","1920",TRUE,FALSE,1,NA,"CHEM100003000",NA,"1-(1-enyl-palmitoyl)-GPE (P-16:0)*","10471193",NA,NA,NA,FALSE,FALSE,NA,NA
"108","1_1_enyl_stearoyl_2_arachidonoyl_gpc_p_18_0_20_4","2210",TRUE,FALSE,1,NA,"CHEM100008918",NA,"1-(1-enyl-stearoyl)-2-arachidonoyl-GPC (P-18:0/20:4)","24767528",NA,NA,NA,FALSE,FALSE,NA,NA
"109","1_1_enyl_stearoyl_2_arachidonoyl_gpe_p_18_0_20_4","6530",TRUE,FALSE,1,"HMDB0005779","HMDB05779","9547058","1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*","7826008",NA,NA,NA,FALSE,FALSE,NA,"PE P-18:0/20:4(5Z,8Z,11Z,14Z)"
