"","input_metabolite_name_final","original_index","contains_original","contains_derived","n_source_rows","input_hmdb_id","metabolite_id","input_pubchem","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers","multiple_isomers","original","MLR_Harmonized_Name"
"1558","c18_1_lpc_logen_a","7286",TRUE,FALSE,1,"HMDB0013122","HMDB13122_WIHS1","24779527","C18:1 LPC plasmalogen_A",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC O-18:1"
"1559","c18_1_lpc_logen_a","7286",TRUE,FALSE,1,"HMDB0013122","HMDB13122_WIHS1","24779527","C18:1 LPC plasmalogen_A",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC O-18:1(1Z)*"
"1560","c18_1_lpc_logen_a","7286",TRUE,FALSE,1,"HMDB0013122","HMDB13122_WIHS1","24779527","C18:1 LPC plasmalogen_A",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC P-18:0"
"1561","c18_1_lpc_logen_a","7286",TRUE,FALSE,1,"HMDB0013122","HMDB13122_WIHS1","24779527","C18:1 LPC plasmalogen_A",NA,NA,NA,NA,FALSE,FALSE,NA,"PC p-18:0/0:0*"
"1562","c18_1_lpc_logen_b","7287",TRUE,FALSE,1,"HMDB0013122","HMDB13122_WIHS2","24779527","C18:1 LPC plasmalogen_B",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 18:1"
"1563","c18_1_lpc_logen_b","7287",TRUE,FALSE,1,"HMDB0013122","HMDB13122_WIHS2","24779527","C18:1 LPC plasmalogen_B",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC O-18:1"
"1564","c18_1_lpc_logen_b","7287",TRUE,FALSE,1,"HMDB0013122","HMDB13122_WIHS2","24779527","C18:1 LPC plasmalogen_B",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC O-18:1(1Z)*"
"1565","c18_1_lpc_logen_b","7287",TRUE,FALSE,1,"HMDB0013122","HMDB13122_WIHS2","24779527","C18:1 LPC plasmalogen_B",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC P-18:0"
"1566","c18_1_lpc_logen_b","7287",TRUE,FALSE,1,"HMDB0013122","HMDB13122_WIHS2","24779527","C18:1 LPC plasmalogen_B",NA,NA,NA,NA,FALSE,FALSE,NA,"PC p-18:0/0:0*"
"1567","c18_1_lpe","7123|7124",TRUE,FALSE,2,"HMDB0011506","HMDB11506","9547071","C18:1 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 18:1"
"1568","c18_1_lpe","7123|7124",TRUE,FALSE,2,"HMDB0011506","HMDB11506","9547071","C18:1 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 18:1(9Z)*"
"1569","c18_1_lpe","7123|7124",TRUE,FALSE,2,"HMDB0011506","HMDB11506","9547071","C18:1 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 18:1(9Z)/0:0"
"1570","c18_1_lpe","7123|7124",TRUE,FALSE,2,"HMDB0011506","HMDB11506","9547071","C18:1 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 18:1/0:0"
"1571","c18_1_oh_carnitine","7365|7366",TRUE,FALSE,2,"HMDB0013339","HMDB13339",NA,"C18:1-OH carnitine",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1572","c18_1_sm","7229|7230",TRUE,FALSE,2,"HMDB0012101","HMDB12101","6443882","C18:1 SM",NA,NA,NA,NA,FALSE,FALSE,NA,"SM 18:1;O2/18:1(9Z)"
"1573","c18_2_carnitine","6579|6580",TRUE,FALSE,2,"HMDB0006469","HMDB06469","6450015","C18:2 carnitine",NA,NA,NA,NA,FALSE,FALSE,NA,"CAR 10:2"
"1574","c18_2_carnitine","6579|6580",TRUE,FALSE,2,"HMDB0006469","HMDB06469","6450015","C18:2 carnitine",NA,NA,NA,NA,FALSE,FALSE,NA,"CAR 18:2"
"1575","c18_2_ce","5215|5216",TRUE,FALSE,2,"HMDB0000610","HMDB00610","5287939","C18:2 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"CE 18:2"
"1576","c18_2_ce","5215|5216",TRUE,FALSE,2,"HMDB0000610","HMDB00610","5287939","C18:2 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"Cholesteryl linoleate"
"1577","c18_2_lpc","6923|6924",TRUE,FALSE,2,"HMDB0010386","HMDB10386","11005824","C18:2 LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 18:2(9Z,12Z)/0:0"
"1578","c18_2_lpe","7128|7129",TRUE,FALSE,2,"HMDB0011507","HMDB11507","52925130","C18:2 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 18:2"
"1579","c18_2_lpe","7128|7129",TRUE,FALSE,2,"HMDB0011507","HMDB11507","52925130","C18:2 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 18:2(9Z,12Z)"
"1580","c18_2_lpe","7128|7129",TRUE,FALSE,2,"HMDB0011507","HMDB11507","52925130","C18:2 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 18:2(9Z,12Z)/0:0"
"1581","c18_2_lpe","7128|7129",TRUE,FALSE,2,"HMDB0011507","HMDB11507","52925130","C18:2 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 18:2/0:0"
"1582","c18_2_sm","1487|1488",TRUE,FALSE,2,"HMDB0012101","C18_2_SM",NA,"C18:2 SM",NA,NA,NA,NA,FALSE,FALSE,NA,"SM 18:1;O2/18:1(9Z)"
"1583","c18_3_ce","6887|6888",TRUE,FALSE,2,"HMDB0010370","HMDB10370","6436907","C18:3 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"CE 18:3"
"1584","c18_3_lpc","6932",TRUE,FALSE,1,"HMDB0010387","HMDB10387",NA,"C18:3 LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 18:3"
"1585","c18_3_lpc","6932",TRUE,FALSE,1,"HMDB0010387","HMDB10387",NA,"C18:3 LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 18:3(6Z,9Z,12Z)"
"1586","c18_3_lpc","6932",TRUE,FALSE,1,"HMDB0010387","HMDB10387",NA,"C18:3 LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 18:3(6Z,9Z,12Z)/0:0"
"1587","c18_3_lpc","6932",TRUE,FALSE,1,"HMDB0010387","HMDB10387",NA,"C18:3 LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 18:3/0:0"
"1588","c18_3_lpe","7131",TRUE,FALSE,1,"HMDB0011508","HMDB11508",NA,"C18:3 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 18:3(6Z,9Z,12Z)/0:0"
"1589","c18_carnitine","5618|5620",TRUE,FALSE,2,"HMDB0000848","HMDB00848","6426855","C18 carnitine",NA,NA,NA,NA,FALSE,FALSE,NA,"CAR 18:0"
"1590","c18_ceramide","1621",TRUE,FALSE,1,NA,"CER_D16_1_C18_0",NA,"C18 Ceramide",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1591","c18_in_micromole_l","5619",TRUE,FALSE,1,NA,"HMDB00848",NA,"c18 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1592","c20_0_lpe","7132",TRUE,FALSE,1,"HMDB0011511","HMDB11511","52925131","C20:0 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 20:0"
"1593","c20_0_lpe","7132",TRUE,FALSE,1,"HMDB0011511","HMDB11511","52925131","C20:0 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 20:0/0:0"
"1594","c20_0_lps_logen","1492",TRUE,FALSE,1,NA,"C20_0_LPS_PLASMALOGEN",NA,"C20:0 LPS plasmalogen",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1595","c20_0_sm","7235|7236",TRUE,FALSE,2,"HMDB0012102","HMDB12102","44260124","C20:0 SM",NA,NA,NA,NA,FALSE,FALSE,NA,"SM 18:1;O2/20:0"
"1596","c20_3_ce","6614|6615",TRUE,FALSE,2,"HMDB0006736","HMDB06736","53477892","C20:3 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"CE 20:3"
"1597","c20_3_ce","6614|6615",TRUE,FALSE,2,"HMDB0006736","HMDB06736","53477892","C20:3 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"CE 20:3(8Z,11Z,14Z)"
"1598","c20_3_lpc","6941|6942",TRUE,FALSE,2,"HMDB0010393","HMDB10393",NA,"C20:3 LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 20:3(5Z,8Z,11Z)/0:0"
"1599","c20_4_carnitine","6572|6573",TRUE,FALSE,2,"HMDB0006455","HMDB06455","53477832","C20:4 carnitine",NA,NA,NA,NA,FALSE,FALSE,NA,"CAR 20:4"
"1600","c20_4_ce","6603|6604",TRUE,FALSE,2,"HMDB0006726","HMDB06726","6479222","C20:4 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"Arachidonic acid"
"1601","c20_4_ce","6603|6604",TRUE,FALSE,2,"HMDB0006726","HMDB06726","6479222","C20:4 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"CE 20:4"
"1602","c20_4_lpc","6954|6955",TRUE,FALSE,2,"HMDB0010395","HMDB10395","24779476","C20:4 LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 20:4(5Z,8Z,11Z,14Z)/0:0"
"1603","c20_4_lpe","7136|7137",TRUE,FALSE,2,"HMDB0011517","HMDB11517","42607465","C20:4 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 20:4(5Z,8Z,11Z,14Z)/0:0"
"1604","c20_5_ce","6608|6609",TRUE,FALSE,2,"HMDB0006731","HMDB06731","53477889","C20:5 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"CE 20:5"
"1605","c20_5_lpc","6962|6963",TRUE,FALSE,2,"HMDB0010397","HMDB10397","11757087","C20:5 LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 20:5"
"1606","c20_5_lpc","6962|6963",TRUE,FALSE,2,"HMDB0010397","HMDB10397","11757087","C20:5 LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 20:5(5Z,8Z,11Z,14Z,17Z)"
"1607","c20_5_lpc","6962|6963",TRUE,FALSE,2,"HMDB0010397","HMDB10397","11757087","C20:5 LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 20:5(5Z,8Z,11Z,14Z,17Z)/0:0"
"1608","c20_5_lpc","6962|6963",TRUE,FALSE,2,"HMDB0010397","HMDB10397","11757087","C20:5 LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 20:5/0:0"
"1609","c20_carnitine","6575|6576",TRUE,FALSE,2,"HMDB0006460","HMDB06460","53477833","C20 carnitine",NA,NA,NA,NA,FALSE,FALSE,NA,"CAR 20:0"
"1610","c20_ceramide","1622",TRUE,FALSE,1,NA,"CER_D16_1_C20_0",NA,"C20 Ceramide",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1611","c20_oh_carnitine","1490",TRUE,FALSE,1,NA,"C18_DC_C20_OH",NA,"C20-OH Carnitine",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1612","c22_0_ceramide_d18_1","6375|6376",TRUE,FALSE,2,"HMDB0004952","HMDB04952","5283567","C22:0 Ceramide (d18:1)",NA,NA,NA,NA,FALSE,FALSE,NA,"Cer 18:1;O2/22:0"
"1613","c22_0_lpe","7139",TRUE,FALSE,1,"HMDB0011520","HMDB11520","52925144","C22:0 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 22:0"
"1614","c22_0_lpe","7139",TRUE,FALSE,1,"HMDB0011520","HMDB11520","52925144","C22:0 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 22:0/0:0"
"1615","c22_0_sm","7240|7241",TRUE,FALSE,2,"HMDB0012103","HMDB12103","44260125","C22:0 SM",NA,NA,NA,NA,FALSE,FALSE,NA,"SM 18:1;O2/22:0"
"1616","c22_1_mag","7173|7174",TRUE,FALSE,2,"HMDB0011582","HMDB11582",NA,"C22:1 MAG",NA,NA,NA,NA,FALSE,FALSE,NA,"MG 22:1"
"1617","c22_1_mag","7173|7174",TRUE,FALSE,2,"HMDB0011582","HMDB11582",NA,"C22:1 MAG",NA,NA,NA,NA,FALSE,FALSE,NA,"MG 22:1(13Z)/0:0/0:0"
"1618","c22_1_sm","7243|7244",TRUE,FALSE,2,"HMDB0012104","HMDB12104","52931203","C22:1 SM",NA,NA,NA,NA,FALSE,FALSE,NA,"SM 18:1;O2/22:1"
"1619","c22_1_sm","7243|7244",TRUE,FALSE,2,"HMDB0012104","HMDB12104","52931203","C22:1 SM",NA,NA,NA,NA,FALSE,FALSE,NA,"SM 18:1;O2/22:1(13Z)"
"1620","c22_1_sm","7243|7244",TRUE,FALSE,2,"HMDB0012104","HMDB12104","52931203","C22:1 SM",NA,NA,NA,NA,FALSE,FALSE,NA,"SM D18:1/11:1(13Z)*"
"1621","c22_1_sm","7243|7244",TRUE,FALSE,2,"HMDB0012104","HMDB12104","52931203","C22:1 SM",NA,NA,NA,NA,FALSE,FALSE,NA,"SM D18:1/22:1(13Z)*"
"1622","c22_4_ce","6606|6607",TRUE,FALSE,2,"HMDB0006729","HMDB06729","16061341","C22:4 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"CE 22:4"
"1623","c22_4_ce","6606|6607",TRUE,FALSE,2,"HMDB0006729","HMDB06729","16061341","C22:4 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"CE 22:4(7Z,10Z,13Z,16Z)*"
"1624","c22_5_ce","6890|6891",TRUE,FALSE,2,"HMDB0010375","HMDB10375","53480463","C22:5 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"CE 22:5"
"1625","c22_5_ce","6890|6891",TRUE,FALSE,2,"HMDB0010375","HMDB10375","53480463","C22:5 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"CE 22:5(7Z,10Z,13Z,16Z,19Z)"
"1626","c22_5_ce","6890|6891",TRUE,FALSE,2,"HMDB0010375","HMDB10375","53480463","C22:5 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 15:0"
"1627","c22_5_ce","6890|6891",TRUE,FALSE,2,"HMDB0010375","HMDB10375","53480463","C22:5 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 15:0/0:0"
"1628","c22_5_ce","6890|6891",TRUE,FALSE,2,"HMDB0010375","HMDB10375","53480463","C22:5 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"PC 15:0"
"1629","c22_5_lpc","6965",TRUE,FALSE,1,"HMDB0010402","HMDB10403",NA,"C22:5 LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 22:5(4Z,7Z,10Z,13Z,16Z)/0:0"
"1630","c22_6_ce","6611|6612",TRUE,FALSE,2,"HMDB0006733","HMDB06733","53477890","C22:6 CE",NA,NA,NA,NA,FALSE,FALSE,NA,"CE 22:6"
"1631","c22_6_lpc","1743",TRUE,FALSE,1,"HMDB0010404","CHEM100001566","10415542","C22:6 LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0"
"1632","c22_6_lpc","6967",TRUE,FALSE,1,"HMDB0010404","HMDB10404",NA,"C22_6_LPC",NA,NA,NA,NA,FALSE,FALSE,NA,"LPC 22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0"
"1633","c22_6_lpe","7140|7141",TRUE,FALSE,2,"HMDB0011526","HMDB11526","52925132","C22:6 LPE",NA,NA,NA,NA,FALSE,FALSE,NA,"LPE 22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0"
"1634","c22_carnitine","2366",TRUE,FALSE,1,NA,"CHEM100015832",NA,"C22 Carnitine",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1635","c22_ceramide","1623",TRUE,FALSE,1,NA,"CER_D16_1_C22_0",NA,"C22 Ceramide",NA,NA,NA,NA,FALSE,FALSE,NA,NA
