"input_metabolite_name_final","original_index","contains_original","contains_derived","n_source_rows","input_hmdb_id","metabolite_id","input_pubchem","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers","multiple_isomers","original"
"w1_finland_nmr_metabolomics_polyunsaturated_fatty_acids","903",TRUE,FALSE,1,NA,"BM00202",NA,"[W1 Finland NMR Metabolomics] Polyunsaturated fatty acids (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_pyruvate","4956",TRUE,FALSE,1,NA,"HMDB00243",NA,"[W1 Finland NMR Metabolomics] Pyruvate (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_ratio_of_18_2_linoleic_acid_to_total_fatty_acids","1417",TRUE,FALSE,1,NA,"BP00206",NA,"[W1 Finland NMR Metabolomics] Ratio of 18:2 linoleic acid to total fatty acids (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_ratio_of_22_6_docosahexaenoic_acid_to_total_fatty_acids","1410",TRUE,FALSE,1,NA,"BP00205",NA,"[W1 Finland NMR Metabolomics] Ratio of 22:6 docosahexaenoic acid to total fatty acids (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_ratio_of_apolipoprotein_b_to_apolipoprotein_a_i","864",TRUE,FALSE,1,NA,"BM00195",NA,"[W1 Finland NMR Metabolomics] Ratio of apolipoprotein B to apolipoprotein A-I",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids","1445",TRUE,FALSE,1,NA,"BP00210",NA,"[W1 Finland NMR Metabolomics] Ratio of monounsaturated fatty acids to total fatty acids (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_ratio_of_omega_3_fatty_acids_to_total_fatty_acids","1424",TRUE,FALSE,1,NA,"BP00207",NA,"[W1 Finland NMR Metabolomics] Ratio of omega-3 fatty acids to total fatty acids (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_ratio_of_omega_6_fatty_acids_to_total_fatty_acids","1431",TRUE,FALSE,1,NA,"BP00208",NA,"[W1 Finland NMR Metabolomics] Ratio of omega-6 fatty acids to total fatty acids (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids","1438",TRUE,FALSE,1,NA,"BP00209",NA,"[W1 Finland NMR Metabolomics] Ratio of polyunsaturated fatty acids to total fatty acids (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_ratio_of_saturated_fatty_acids_to_total_fatty_acids","1452",TRUE,FALSE,1,NA,"BP00211",NA,"[W1 Finland NMR Metabolomics] Ratio of saturated fatty acids to total fatty acids (%)",NA,NA,NA,NA,FALSE,FALSE,NA
