Unnamed: 0,original_index,input_metabolite_name,input_metabolite_name_final,multiple_isomers,multiple_identifiers,metabolite_id,input_hmdb_id,input_pubchem,input_chemspider,input_kegg,input_inchikey,input_chebi
20,20,UDP-galactose,udp_galactose,True,False,HMDB00286,HMDB0000286,,,,,
20,20,UDP-glucose,udp_glucose,True,False,HMDB00286,HMDB0000286,,,,,
21,5154,"bilirubin (E,Z or Z,E)*",bilirubin_e_z or z_e,True,False,HMDB00488,HMDB0000488,5799469,4705847.0,,,
21,21,"bilirubin (E,Z) *",bilirubin_e_z_,True,False,HMDB00488,HMDB0000488,5799469,4705847.0,,,
21,21,"bilirubin (Z,E) *",bilirubin_z_e_,True,False,HMDB00488,HMDB0000488,5799469,4705847.0,,,
22,1879,deoxycholate/chenodeoxycholate,deoxycholate_chenodeoxycholate,True,False,CHEM100002178,HMDB0000626,440355,,,,
22,22,deoxycholate,deoxycholate,True,False,CHEM100002178,HMDB0000626,440355,,,,
22,22,chenodeoxycholate,chenodeoxycholate,True,False,CHEM100002178,HMDB0000626,440355,,,,
23,5249,glycodeoxycholate/glycochenodeoxycholate,glycodeoxycholate_glycochenodeoxycholate,True,False,HMDB00631,HMDB0000631,,,,,
23,23,glycodeoxycholate,glycodeoxycholate,True,False,HMDB00631,HMDB0000631,,,,,
23,23,glycochenodeoxycholate,glycochenodeoxycholate,True,False,HMDB00631,HMDB0000631,,,,,
24,5640,taurohyodeoxycholate/tauroursodeoxycholate,taurohyodeoxycholate_tauroursodeoxycholate,True,False,HMDB00874,HMDB0000874,,,,,
24,24,taurohyodeoxycholate,taurohyodeoxycholate,True,False,HMDB00874,HMDB0000874,,,,,
24,24,tauroursodeoxycholate,tauroursodeoxycholate,True,False,HMDB00874,HMDB0000874,,,,,
25,8022,aconitate [cis or trans],aconitate_cis or trans,True,True,HMDB00072_HMDB00958,HMDB0000958,,,C02341,,
25,25,aconitate [cis],aconitate_cis,True,True,HMDB00072_HMDB00958,HMDB0000958,,,C02341,,
25,25,aconitate [trans],aconitate_trans,True,True,HMDB00072_HMDB00958,HMDB0000958,,,C02341,,
26,5842,(18:3n3 or 6)],18_3n3 or 6,True,False,HMDB01388,HMDB0001388,,,Lipid,,
26,26,(18:3n3) ],18_3n3_,True,False,HMDB01388,HMDB0001388,,,Lipid,,
26,26,(18:3n6) ],18_3n6_,True,False,HMDB01388,HMDB0001388,,,Lipid,,
27,5849|8076,linolenate [alpha or gamma; (18:3n3 or 6)],linolenate_alpha or gamma__18_3n3 or 6,True,False,HMDB01388_HMDB03073,HMDB0001388,,,C06427,,
27,27,linolenate [alpha; (18:3n3)],linolenate_alpha__18_3n3,True,False,HMDB01388_HMDB03073,HMDB0001388,,,C06427,,
27,27,linolenate [gamma; (18:3n6)],linolenate_gamma__18_3n6,True,False,HMDB01388_HMDB03073,HMDB0001388,,,C06427,,
28,8074|8075,Linolenate _alpha or gamma; (18:3n3 or 6)_,linolenate_alpha or gamma__18_3n3 or 6,True,True,HMDB01388_HMDB03073,HMDB0001388,5280934,,,,
28,28,Linolenate _alpha or gamma; (18:3n3) _,linolenate_alpha or gamma__18_3n3_,True,True,HMDB01388_HMDB03073,HMDB0001388,5280934,,,,
28,28,Linolenate _alpha or gamma; (18:3n6) _,linolenate_alpha or gamma__18_3n6_,True,True,HMDB01388_HMDB03073,HMDB0001388,5280934,,,,
29,6086,eicosenoate (20:1n9 or 11),eicosenoate_20_1n9 or 11,True,False,HMDB02231,HMDB0002231,5282768,,,,
29,29,eicosenoate (20:1n9),eicosenoate_20_1n9,True,False,HMDB02231,HMDB0002231,5282768,,,,
29,29,eicosenoate (20:1n11),eicosenoate_20_1n11,True,False,HMDB02231,HMDB0002231,5282768,,,,
30,6185|6190,dihomo-linolenate (20:3n3 or n6),dihomo_linolenate_20_3n3 or n6,True,False,HMDB02925,HMDB0002925,,,C03242,,
30,30,dihomo-linolenate (20:3n3),dihomo_linolenate_20_3n3,True,False,HMDB02925,HMDB0002925,,,C03242,,
30,30,dihomo-linolenate (20:3n6),dihomo_linolenate_20_3n6,True,False,HMDB02925,HMDB0002925,,,C03242,,
31,6182|6186|6188|8091|8092,dihomo-linolenate (20:3n3 or n6),dihomo_linolenate_20_3n3 or n6,True,False,HMDB02925,HMDB0002925,5280581,4471954.0,C03242,,
31,31,dihomo-linolenate (20:3n3),dihomo_linolenate_20_3n3,True,False,HMDB02925,HMDB0002925,5280581,4471954.0,C03242,,
31,31,dihomo-linolenate (20:3n6),dihomo_linolenate_20_3n6,True,False,HMDB02925,HMDB0002925,5280581,4471954.0,C03242,,
32,6187|8091|8092,dihomo-linolenate (20:3n3 or n6),dihomo_linolenate_20_3n3 or n6,True,False,HMDB02925,HMDB0002925,5312529,,C03242,,
32,32,dihomo-linolenate (20:3n3),dihomo_linolenate_20_3n3,True,False,HMDB02925,HMDB0002925,5312529,,C03242,,
32,32,dihomo-linolenate (20:3n6),dihomo_linolenate_20_3n6,True,False,HMDB02925,HMDB0002925,5312529,,C03242,,
33,8076,linolenate [alpha or gamma; (18:3n3 or 6)],linolenate_alpha or gamma__18_3n3 or 6,True,True,HMDB01388_HMDB03073,HMDB0003073,,,,,
33,33,linolenate [alpha; (18:3n3)],linolenate_alpha__18_3n3,True,True,HMDB01388_HMDB03073,HMDB0003073,,,,,
33,33,linolenate [gamma; (18:3n6)],linolenate_gamma__18_3n6,True,True,HMDB01388_HMDB03073,HMDB0003073,,,,,
34,5845,linolenate [alpha or gamma; (18:3n3 or 6)],linolenate_alpha or gamma__18_3n3 or 6,True,False,HMDB01388_HMDB03073,HMDB0003073,5280934,,,,
34,34,linolenate [alpha; (18:3n3)],linolenate_alpha__18_3n3,True,False,HMDB01388_HMDB03073,HMDB0003073,5280934,,,,
34,34,linolenate [gamma; (18:3n6)],linolenate_gamma__18_3n6,True,False,HMDB01388_HMDB03073,HMDB0003073,5280934,,,,
35,5848,linolenate [alpha or gamma; (18:3n3 or 6)],linolenate_alpha or gamma__18_3n3 or 6,True,False,HMDB01388_HMDB03073,HMDB0003073,5280934,4444437.0,C06426,,
35,35,linolenate [alpha; (18:3n3)],linolenate_alpha__18_3n3,True,False,HMDB01388_HMDB03073,HMDB0003073,5280934,4444437.0,C06426,,
35,35,linolenate [gamma; (18:3n6)],linolenate_gamma__18_3n6,True,False,HMDB01388_HMDB03073,HMDB0003073,5280934,4444437.0,C06426,,
36,8074,Linolenate _alpha or gamma; (18:3n3 or 6)_,linolenate_alpha or gamma__18_3n3 or 6,True,True,HMDB01388_HMDB03073,HMDB0003073,5280934,,,,
36,36,Linolenate _alpha or gamma; (18:3n3) _,linolenate_alpha or gamma__18_3n3_,True,True,HMDB01388_HMDB03073,HMDB0003073,5280934,,,,
36,36,Linolenate _alpha or gamma; (18:3n6) _,linolenate_alpha or gamma__18_3n6_,True,True,HMDB01388_HMDB03073,HMDB0003073,5280934,,,,
37,8075,linolenate [alpha or gamma; (18:3n3 or 6)],linolenate_alpha or gamma__18_3n3 or 6,True,True,HMDB01388_HMDB03073,HMDB0003073,5280934,,,,
37,37,linolenate [alpha; (18:3n3)],linolenate_alpha__18_3n3,True,True,HMDB01388_HMDB03073,HMDB0003073,5280934,,,,
37,37,linolenate [gamma; (18:3n6)],linolenate_gamma__18_3n6,True,True,HMDB01388_HMDB03073,HMDB0003073,5280934,,,,
38,8077,linolenate [alpha or gamma; (18:3n3 or 6)],linolenate_alpha or gamma__18_3n3 or 6,True,True,HMDB01388_HMDB03073,HMDB0003073,5280934,,C06426,,
38,38,linolenate [alpha; (18:3n3)],linolenate_alpha__18_3n3,True,True,HMDB01388_HMDB03073,HMDB0003073,5280934,,C06426,,
38,38,linolenate [gamma; (18:3n6)],linolenate_gamma__18_3n6,True,True,HMDB01388_HMDB03073,HMDB0003073,5280934,,C06426,,
39,8077,linolenate [alpha or gamma; (18:3n3 or 6)],linolenate_alpha or gamma__18_3n3 or 6,True,True,HMDB01388_HMDB03073,HMDB0003073,5280934,,C06427,,
39,39,linolenate [alpha; (18:3n3)],linolenate_alpha__18_3n3,True,True,HMDB01388_HMDB03073,HMDB0003073,5280934,,C06427,,
39,39,linolenate [gamma; (18:3n6)],linolenate_gamma__18_3n6,True,True,HMDB01388_HMDB03073,HMDB0003073,5280934,,C06427,,
40,6949,1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,1_dihomo_linolenoyl_gpc_20_3n3 or 6,True,False,HMDB10394,HMDB0010394,,21403156.0,,,
40,40,1-dihomo-linolenoyl-GPC (20:3n3) *,1_dihomo_linolenoyl_gpc_20_3n3_,True,False,HMDB10394,HMDB0010394,,21403156.0,,,
40,40,1-dihomo-linolenoyl-GPC (20:3n6) *,1_dihomo_linolenoyl_gpc_20_3n6_,True,False,HMDB10394,HMDB0010394,,21403156.0,,,
41,7658,(16 or 17)-methylstearate (a19:0 or i19:0),16 or 17_methylstearate_a19_0 or i19_0,True,False,HMDB37397,HMDB0037397,3083779,,,,
41,41,(16) -methylstearate (a19:0 or i19:0),16__methylstearate_a19_0 or i19_0,True,False,HMDB37397,HMDB0037397,3083779,,,,
41,41,(17) -methylstearate (a19:0 or i19:0),17__methylstearate_a19_0 or i19_0,True,False,HMDB37397,HMDB0037397,3083779,,,,
42,20,3-Hydroxy-hexadecanoyl carnitine or Tetradecanedioyl carnitine,3_hydroxy_hexadecanoyl carnitine or tetradecanedioyl carnitine,True,False,BIOCHEM_3HYDHEXTETCARNITINE,,,,,,
42,42,3-Hydroxy-hexadecanoyl carnitine,3_hydroxy_hexadecanoyl carnitine,True,False,BIOCHEM_3HYDHEXTETCARNITINE,,,,,,
42,42,Tetradecanedioyl carnitine,tetradecanedioyl carnitine,True,False,BIOCHEM_3HYDHEXTETCARNITINE,,,,,,
43,21,"3-Hydroxy-octadecanoyl carnitine or Hexadecanedioyl carnitine, thapsoyl carnitine",3_hydroxy_octadecanoyl carnitine or hexadecanedioyl carnitine_thapsoyl carnitine,True,False,BIOCHEM_3HYDROXOCTHEXCARN,,,,,,
43,43,3-Hydroxy-octadecanoyl carnitine,3_hydroxy_octadecanoyl carnitine,True,False,BIOCHEM_3HYDROXOCTHEXCARN,,,,,,
43,43,"Hexadecanedioyl carnitine, thapsoyl carnitine",hexadecanedioyl carnitine_thapsoyl carnitine,True,False,BIOCHEM_3HYDROXOCTHEXCARN,,,,,,
44,23,3-Hydroxy-tetradecanoyl carnitine or Dodecanedioyl carnitine,3_hydroxy_tetradecanoyl carnitine or dodecanedioyl carnitine,True,False,BIOCHEM_3HYDTETDODECARNITINE,,,,,,
44,44,3-Hydroxy-tetradecanoyl carnitine,3_hydroxy_tetradecanoyl carnitine,True,False,BIOCHEM_3HYDTETDODECARNITINE,,,,,,
44,44,Dodecanedioyl carnitine,dodecanedioyl carnitine,True,False,BIOCHEM_3HYDTETDODECARNITINE,,,,,,
45,26,Asparatate/asparatime,asparatate_asparatime,True,False,BIOCHEM_ASPARA,,,,,,
45,45,Asparatate,asparatate,True,False,BIOCHEM_ASPARA,,,,,,
45,45,asparatime,asparatime,True,False,BIOCHEM_ASPARA,,,,,,
46,35,3-Hydroxy-dodecanoyl carnitine or Sebacoyl carnitine,3_hydroxy_dodecanoyl carnitine or sebacoyl carnitine,True,False,BIOCHEM_HYDSEBCARNITINE,,,,,,
46,46,3-Hydroxy-dodecanoyl carnitine,3_hydroxy_dodecanoyl carnitine,True,False,BIOCHEM_HYDSEBCARNITINE,,,,,,
46,46,Sebacoyl carnitine,sebacoyl carnitine,True,False,BIOCHEM_HYDSEBCARNITINE,,,,,,
47,793,Total Plasma Free Cholesterol mg/dL,total plasma free cholesterol mg_dl,False,False,BM00183,,,,,,
48,800,Total Plasma Triglycerides mg/dL,total plasma triglycerides mg_dl,False,False,BM00184,,,,,,
49,835,TG/PG,tg_pg,True,False,BM00189,,,,,,
49,49,TG,tg,True,False,BM00189,,,,,,
49,49,PG,pg,True,False,BM00189,,,,,,
50,858,ApoB/ApoA1,apob_apoa1,True,False,BM00195,,,,,,
50,50,ApoB,apob,True,False,BM00195,,,,,,
50,50,ApoA1,apoa1,True,False,BM00195,,,,,,
51,1567,methylmalonyl-/succinylcarnitine,methylmalonyl_succinylcarnitine,False,False,C4_DC,,,,,,
52,1635,Butyryl carnitine or Isobutyryl carnitine,butyryl carnitine or isobutyryl carnitine,True,False,CHEBI21949,,,,,,
52,52,Butyryl carnitine,butyryl carnitine,True,False,CHEBI21949,,,,,,
52,52,Isobutyryl carnitine,isobutyryl carnitine,True,False,CHEBI21949,,,,,,
53,1833,"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate",5alpha_pregnan_3_alpha or beta_20beta_diol disulfate,True,False,CHEM100002015,,5127902,4302261.0,,,
53,53,"5alpha-pregnan-3 (alpha) ,20beta-diol disulfate",5alpha_pregnan_3_alpha__20beta_diol disulfate,True,False,CHEM100002015,,5127902,4302261.0,,,
53,53,"5alpha-pregnan-3 (beta) ,20beta-diol disulfate",5alpha_pregnan_3_beta__20beta_diol disulfate,True,False,CHEM100002015,,5127902,4302261.0,,,
54,1902,(14 or 15)-methylpalmitate (a17:0 or i17:0),14 or 15_methylpalmitate_a17_0 or i17_0,True,False,CHEM100002945,,17903417,,,,
54,54,(14) -methylpalmitate (a17:0 or i17:0),14__methylpalmitate_a17_0 or i17_0,True,False,CHEM100002945,,17903417,,,,
54,54,(15) -methylpalmitate (a17:0 or i17:0),15__methylpalmitate_a17_0 or i17_0,True,False,CHEM100002945,,17903417,,,,
55,1906,Methyl palmitate (15 or 2),methyl palmitate_15 or 2,True,False,CHEM100002945,,17903417,,,,
55,55,Methyl palmitate (15),methyl palmitate,True,False,CHEM100002945,,17903417,,,,
55,55,Methyl palmitate (2),methyl palmitate,True,False,CHEM100002945,,17903417,,,,
56,2022,3-Hydroxy-isovaleryl carnitine or Malonyl carnitine,3_hydroxy_isovaleryl carnitine or malonyl carnitine,True,False,CHEM100003926_HMDB02095,,,,,,
56,56,3-Hydroxy-isovaleryl carnitine,3_hydroxy_isovaleryl carnitine,True,False,CHEM100003926_HMDB02095,,,,,,
56,56,Malonyl carnitine,malonyl carnitine,True,False,CHEM100003926_HMDB02095,,,,,,
57,2083,1-dihomo-linolenoyl-GPE (20:3n3 or 6)*,1_dihomo_linolenoyl_gpe_20_3n3 or 6,True,False,CHEM100005371,,,,,,
57,57,1-dihomo-linolenoyl-GPE (20:3n3) *,1_dihomo_linolenoyl_gpe_20_3n3_,True,False,CHEM100005371,,,,,,
57,57,1-dihomo-linolenoyl-GPE (20:3n6) *,1_dihomo_linolenoyl_gpe_20_3n6_,True,False,CHEM100005371,,,,,,
58,2132,arabonate/xylonate,arabonate_xylonate,True,False,CHEM100006115,,,,,,
58,58,arabonate,arabonate,True,False,CHEM100006115,,,,,,
58,58,xylonate,xylonate,True,False,CHEM100006115,,,,,,
59,2153,pregnanolone/allopregnanolone sulfate,pregnanolone_allopregnanolone sulfate,True,False,CHEM100006173,,,,,,
59,59,pregnanolone,pregnanolone,True,False,CHEM100006173,,,,,,
59,59,allopregnanolone sulfate,allopregnanolone sulfate,True,False,CHEM100006173,,,,,,
60,2194,arabitol/xylitol,arabitol_xylitol,True,False,CHEM100006430,,6912,,,,
60,60,arabitol,arabitol,True,False,CHEM100006430,,6912,,,,
60,60,xylitol,xylitol,True,False,CHEM100006430,,6912,,,,
61,2195,citraconate/glutaconate,citraconate_glutaconate,True,False,CHEM100006438,,,,,,
