metabolite_id,dataset_id,study_name,platform,merge_variable,input_metabolite_name,input_metabid,input_chemical_id,input_comp_id,input_hmdb_id,input_cas,input_pubchem,input_chemspider,input_kegg,input_inchikey,input_chebi
AC40_OCTEN_CARN,54,Catheterization Genetics,Newgard Laboratory @ Duke University,NEW UID,Octenedioyl carnitine,ac40,,,,,,,,,
ACYLCARNITINE_10_0_OH,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (10:0-OH) - Hydroxydecanoylcarnitine,acylcarnitine__10:0_oh____hydroxydecanoylcarnitine,,,,,,,,,73051
ACYLCARNITINE_12_0_OH,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (12:0-OH) - Hydroxydodecanoylcarnitine,acylcarnitine__12:0_oh____hydroxydodecanoylcarnitine,,,,,,,,,73056
ACYLCARNITINE_12_1_OH,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (12:1-OH) - Hydroxydodecenoylcarnitine,acylcarnitine__12:1_oh____hydroxydodecenoylcarnitine,,,,,,,,,73106
ACYLCARNITINE_14_0_OH,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (14:0-OH) - Hydroxytetradecanoylcarnitine,acylcarnitine__14:0_oh____hydroxytetradecanoylcarnitine,,,,,,,,,73063
ACYLCARNITINE_18_0_DC,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (18:0-DC),acylcarnitine__18:0_dc_,,,,,,,,,
ACYLCARNITINE_18_1_DC,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (18:1-DC),acylcarnitine__18:1_dc_,,,,,,,,,
ACYLCARNITINE_20_1,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (20:1),acylcarnitine__20:1_,,,,,,,,,
ACYLCARNITINE_20_1_VAR2,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (20:1),acylcarnitine__20:1__2,,,,,,,,,
ACYLCARNITINE_20_1_VAR3,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (20:1),acylcarnitine__20:1__3,,,,,,,,,
ACYLCARNITINE_20_3,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (20:3),acylcarnitine__20:3_,,,,,,,,,
ACYLCARNITINE_20_4,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (20:4),acylcarnitine__20:4_,,,,,,,,,
ACYLCARNITINE_22_6,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (22:6),acylcarnitine__22:6_,,,,,,,,,
ACYLCARNITINE_24_0,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (24:0),acylcarnitine__24:0_,,,,,,,,,
ACYLCARNITINE_26_0,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (26:0),acylcarnitine__26:0_,,,,,,,,,
ACYLCARNITINE_26_1,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (26:1),acylcarnitine__26:1_,,,,,,,,,
ACYLCARNITINE_26_1_VAR2,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,Acylcarnitine (26:1),acylcarnitine__26:1__2,,,,,,,,,
AMIDES_T3,72,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Broad Institute,NEW UID,T3,amides_t3,,,,,,,,,
AMIDES_T4,72,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Broad Institute,NEW UID,T4,amides_t4,,,,,,,,,
ATP,72,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Broad Institute,NEW UID,ATP,amides_atp,,,,,,,,,
A_TOCOPHEROL_GLUC,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,a-tocopherol-glucuronide,a_tocopherol_glucuronide,,,,,,,,,
A_TOCOPHEROL_GLUC_VAR2,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,a-tocopherol-glucuronide,a_tocopherol_glucuronide_2,,,,,,,,,
A_TOCOPHEROL_GLUC_VAR3,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,a-tocopherol-glucuronide,a_tocopherol_glucuronide_3,,,,,,,,,
BETA_CAROTENE,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,beta-Carotene,beta_carotene,,,HMDB00561,,,,,,17579
BETA_CAROTENE_VAR2,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,beta-Carotene,beta_carotene_2,,,HMDB00561,,,,,,17579
BETA_CAROTENE_VAR3,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,beta-Carotene,beta_carotene_3,,,HMDB00561,,,,,,17579
BETA_CAROTENE_VAR4,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,beta-Carotene,beta_carotene_4,,,HMDB00561,,,,,,17579
BETA_CAROTENE_VAR5,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,beta-Carotene,beta_carotene_5,,,HMDB00561,,,,,,17579
BETA_CAROTENE_VAR6,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,beta-Carotene,beta_carotene_6,,,HMDB00561,,,,,,17579
BETA_CAROTENE_VAR7,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,beta-Carotene,beta_carotene_7,,,HMDB00561,,,,,,17579
BIOCHEM_3HYDHEXTETCARNITINE,32,Genetics of Early Onset Cardiovascular Disease,Newgard Laboratory @ Duke University,NEW UID,3-Hydroxy-hexadecanoyl carnitine or Tetradecanedioyl carnitine,ac28,,,,,,,,,
BIOCHEM_3HYDHEXTETCARNITINE,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,3-Hydroxy-hexadecanoyl carnitine or Tetradecanedioyl carnitine,ac28,,,,,,,,,
BIOCHEM_3HYDHEXTETCARNITINE_AC43,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,3-Hydroxy-hexadecanoyl carnitine or Tetradecanedioyl carnitine,ac43,,,,,,,,,
BIOCHEM_3HYDROXOCTHEXCARN,32,Genetics of Early Onset Cardiovascular Disease,Newgard Laboratory @ Duke University,NEW UID,"3-Hydroxy-octadecanoyl carnitine or Hexadecanedioyl carnitine, thapsoyl carnitine",ac33,,,,,,,,,
BIOCHEM_3HYDROXOCTHEXCARN,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,"3-Hydroxy-octadecanoyl carnitine or Hexadecanedioyl carnitine, thapsoyl carnitine",ac33,,,,,,,,,
BIOCHEM_3HYDTETCARNITINE,32,Genetics of Early Onset Cardiovascular Disease,Newgard Laboratory @ Duke University,NEW UID,3-Hydroxy-tetradecenoyl carnitine,ac25,,,,,,,,,
BIOCHEM_3HYDTETCARNITINE,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,3-Hydroxy-tetradecenoyl carnitine,ac25,,,,,,,,,
