"","input_hmdb_id","input_pubchem","metabolite_id","input_metabolite_name_final","original_index","contains_original","contains_derived","n_source_rows","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers","multiple_isomers","original"
"32","HMDB0002925","5312529","HMDB02925","dihomo_linolenate_20_3n3 or n6","6187|8091|8092",TRUE,TRUE,3,"dihomo-linolenate (20:3n3 or n6)",NA,"C03242",NA,NA,FALSE,FALSE,NA
"33","HMDB0003073","","HMDB01388_HMDB03073","linolenate_alpha or gamma__18_3n3 or 6","8076",FALSE,TRUE,1,"linolenate [alpha or gamma; (18:3n3 or 6)]",NA,NA,NA,NA,TRUE,FALSE,NA
"34","HMDB0003073","5280934","HMDB01388_HMDB03073","linolenate_alpha or gamma__18_3n3 or 6","5845",TRUE,FALSE,NA,"linolenate [alpha or gamma; (18:3n3 or 6)]",NA,"","",NA,FALSE,FALSE,TRUE
"35","HMDB0003073","5280934","HMDB01388_HMDB03073","linolenate_alpha or gamma__18_3n3 or 6","5848",TRUE,FALSE,NA,"linolenate [alpha or gamma; (18:3n3 or 6)]",4444437,"C06426","",NA,FALSE,FALSE,TRUE
"36","HMDB0003073","5280934","HMDB01388_HMDB03073","linolenate_alpha or gamma__18_3n3 or 6","8074",FALSE,TRUE,NA,"Linolenate _alpha or gamma; (18:3n3 or 6)_",NA,"","",NA,TRUE,FALSE,FALSE
"37","HMDB0003073","5280934","HMDB01388_HMDB03073","linolenate_alpha or gamma__18_3n3 or 6","8075",FALSE,TRUE,NA,"linolenate [alpha or gamma; (18:3n3 or 6)]",NA,"","",NA,TRUE,FALSE,FALSE
"38","HMDB0003073","5280934","HMDB01388_HMDB03073","linolenate_alpha or gamma__18_3n3 or 6","8077",FALSE,TRUE,NA,"linolenate [alpha or gamma; (18:3n3 or 6)]",NA,"C06426","",NA,TRUE,FALSE,FALSE
"39","HMDB0003073","5280934","HMDB01388_HMDB03073","linolenate_alpha or gamma__18_3n3 or 6","8077",FALSE,TRUE,NA,"linolenate [alpha or gamma; (18:3n3 or 6)]",NA,"C06427","",NA,TRUE,FALSE,FALSE
"40","HMDB0010394",NA,"HMDB10394","1_dihomo_linolenoyl_gpc_20_3n3 or 6","6949",TRUE,FALSE,1,"1-dihomo-linolenoyl-GPC (20:3n3 or 6)*",21403156,NA,NA,NA,FALSE,FALSE,NA
"41","HMDB0037397","3083779","HMDB37397","16 or 17_methylstearate_a19_0 or i19_0","7658",TRUE,FALSE,1,"(16 or 17)-methylstearate (a19:0 or i19:0)",NA,NA,NA,NA,FALSE,FALSE,NA
"42",NA,"146570","HMDB05028","citalopram_escitalopram","6396",TRUE,FALSE,1,"citalopram/escitalopram",NA,NA,NA,NA,FALSE,FALSE,NA
"43",NA,"17903417","CHEM100002945","14 or 15_methylpalmitate_a17_0 or i17_0","1902",TRUE,FALSE,1,"(14 or 15)-methylpalmitate (a17:0 or i17:0)",NA,NA,NA,NA,FALSE,FALSE,NA
"44",NA,"17903417","CHEM100002945","methyl palmitate_15 or 2","1906",TRUE,FALSE,1,"Methyl palmitate (15 or 2)",NA,NA,NA,NA,FALSE,FALSE,NA
"45",NA,"264","COMP40605","butyrate_isobutyrate_4_0","3119",TRUE,FALSE,1,"butyrate/isobutyrate (4:0)",NA,NA,NA,NA,FALSE,FALSE,NA
"46",NA,"5127902","CHEM100002015","5alpha_pregnan_3_alpha or beta_20beta_diol disulfate","1833",TRUE,FALSE,1,"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate",4302261,NA,NA,NA,FALSE,FALSE,NA
"47",NA,"5280581","HMDB02925","dihomolinolenate_20_3n3 or 3n6","6191",TRUE,FALSE,1,"dihomolinolenate (20:3n3 or 3n6)",NA,NA,NA,NA,FALSE,FALSE,NA
"48",NA,"5280934","HMDB01388_HMDB03073","linolenate_18_3n3 or 3n6","5844",TRUE,FALSE,1,"linolenate (18:3n3 or 3n6)",NA,NA,NA,NA,FALSE,FALSE,NA
"49",NA,"5282768","HMDB02231","eicosenoate_20_1n9 or 1n11","6087",TRUE,FALSE,1,"eicosenoate (20:1n9 or 1n11)",NA,NA,NA,NA,FALSE,FALSE,NA
"50",NA,"6912","CHEM100006430","arabitol_xylitol","2194",TRUE,FALSE,1,"arabitol/xylitol",NA,NA,NA,NA,FALSE,FALSE,NA
"51",NA,NA,"BIOCHEM_3HYDHEXTETCARNITINE","3_hydroxy_hexadecanoyl carnitine or tetradecanedioyl carnitine","20",TRUE,FALSE,1,"3-Hydroxy-hexadecanoyl carnitine or Tetradecanedioyl carnitine",NA,NA,NA,NA,FALSE,FALSE,NA
"52",NA,NA,"BIOCHEM_3HYDROXOCTHEXCARN","3_hydroxy_octadecanoyl carnitine or hexadecanedioyl carnitine_thapsoyl carnitine","21",TRUE,FALSE,1,"3-Hydroxy-octadecanoyl carnitine or Hexadecanedioyl carnitine, thapsoyl carnitine",NA,NA,NA,NA,FALSE,FALSE,NA
"53",NA,NA,"BIOCHEM_3HYDTETDODECARNITINE","3_hydroxy_tetradecanoyl carnitine or dodecanedioyl carnitine","23",TRUE,FALSE,1,"3-Hydroxy-tetradecanoyl carnitine or Dodecanedioyl carnitine",NA,NA,NA,NA,FALSE,FALSE,NA
"54",NA,NA,"BIOCHEM_ASPARA","asparatate_asparatime","26",TRUE,FALSE,1,"Asparatate/asparatime",NA,NA,NA,NA,FALSE,FALSE,NA
"55",NA,NA,"BIOCHEM_HYDSEBCARNITINE","3_hydroxy_dodecanoyl carnitine or sebacoyl carnitine","35",TRUE,FALSE,1,"3-Hydroxy-dodecanoyl carnitine or Sebacoyl carnitine",NA,NA,NA,NA,FALSE,FALSE,NA
"56",NA,NA,"BM00183","total plasma free cholesterol mg_dl","793",TRUE,FALSE,1,"Total Plasma Free Cholesterol mg/dL",NA,NA,NA,NA,FALSE,FALSE,NA
"57",NA,NA,"BM00184","total plasma triglycerides mg_dl","800",TRUE,FALSE,1,"Total Plasma Triglycerides mg/dL",NA,NA,NA,NA,FALSE,FALSE,NA
"58",NA,NA,"BM00189","tg_pg","835",TRUE,FALSE,1,"TG/PG",NA,NA,NA,NA,FALSE,FALSE,NA
"59",NA,NA,"BM00195","apob_apoa1","858",TRUE,FALSE,1,"ApoB/ApoA1",NA,NA,NA,NA,FALSE,FALSE,NA
"60",NA,NA,"C4_DC","methylmalonyl_succinylcarnitine","1567",TRUE,FALSE,1,"methylmalonyl-/succinylcarnitine",NA,NA,NA,NA,FALSE,FALSE,NA
"61",NA,NA,"CHEBI21949","butyryl carnitine or isobutyryl carnitine","1635",TRUE,FALSE,1,"Butyryl carnitine or Isobutyryl carnitine",NA,NA,NA,NA,FALSE,FALSE,NA
"62",NA,NA,"CHEM100003926_HMDB02095","3_hydroxy_isovaleryl carnitine or malonyl carnitine","2022",TRUE,FALSE,1,"3-Hydroxy-isovaleryl carnitine or Malonyl carnitine",NA,NA,NA,NA,FALSE,FALSE,NA
"63",NA,NA,"CHEM100005371","1_dihomo_linolenoyl_gpe_20_3n3 or 6","2083",TRUE,FALSE,1,"1-dihomo-linolenoyl-GPE (20:3n3 or 6)*",NA,NA,NA,NA,FALSE,FALSE,NA
"64",NA,NA,"CHEM100006115","arabonate_xylonate","2132",TRUE,FALSE,NA,"arabonate/xylonate",NA,NA,NA,NA,FALSE,FALSE,TRUE
"65",NA,NA,"CHEM100006173","pregnanolone_allopregnanolone sulfate","2153",TRUE,FALSE,1,"pregnanolone/allopregnanolone sulfate",NA,NA,NA,NA,FALSE,FALSE,NA
"66",NA,NA,"CHEM100006438","citraconate_glutaconate","2195",TRUE,FALSE,1,"citraconate/glutaconate",NA,NA,NA,NA,FALSE,FALSE,NA
"67",NA,NA,"CHEM100006627_3HYDRO","3_hydroxy_decanoyl carnitine or suberoyl carnitine","2200",TRUE,FALSE,1,"3-Hydroxy-decanoyl carnitine or Suberoyl carnitine",NA,NA,NA,NA,FALSE,FALSE,NA
"68",NA,NA,"CHEM100008928","2_hydroxybutyrate_2_hydroxyisobutyrate","2212",TRUE,FALSE,NA,"2-hydroxybutyrate/2-hydroxyisobutyrate",NA,NA,NA,NA,FALSE,FALSE,TRUE
"69",NA,NA,"CHEM100008929","2_methylcitrate_homocitrate","2213",TRUE,FALSE,1,"2-methylcitrate/homocitrate",NA,NA,NA,NA,FALSE,FALSE,NA
"70",NA,NA,"CHEM100008930","oleate_vaccenate_18_1","2214",TRUE,FALSE,NA,"oleate/vaccenate (18:1)",NA,NA,NA,NA,FALSE,FALSE,TRUE
"71",NA,NA,"CHEM100008985","1_palmitoyl_2_dihomo_linolenoyl_gpc_16_0_20_3n3 or 6","2224",TRUE,FALSE,1,"1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*",NA,NA,NA,NA,FALSE,FALSE,NA
"72",NA,NA,"CHEM100008998","b_and_or g_tocopherol","2227",TRUE,FALSE,1,"b- and/or g-tocopherol",NA,NA,NA,NA,FALSE,FALSE,NA
"73",NA,NA,"CHEM100008998","gamma_tocopherol_beta_tocopherol","2228",TRUE,FALSE,1,"gamma-tocopherol/beta-tocopherol",NA,NA,NA,NA,FALSE,FALSE,NA
"74",NA,NA,"CHEM100009051","1_stearoyl_2_dihomo_linolenoyl_gpc_18_0_20_3n3 or 6","2244",TRUE,FALSE,1,"1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or 6)*",24766712,NA,NA,NA,FALSE,FALSE,NA
"75",NA,NA,"CHEM100009278","14_hdohe_17_hdohe","2280",TRUE,FALSE,1,"14-HDoHE/17-HDoHE",NA,NA,NA,NA,FALSE,FALSE,NA
"76",NA,NA,"CHEM100009407","pimeloylcarnitine_3_methyladipoylcarnitine_c7_dc","2294",TRUE,FALSE,1,"pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)",NA,NA,NA,NA,FALSE,FALSE,NA
"77",NA,NA,"CHEM100015840","dihomo_linolenoylcarnitine_20_3n3 or 6","2372",TRUE,FALSE,1,"dihomo-linolenoylcarnitine (20:3n3 or 6)*",NA,NA,NA,NA,FALSE,FALSE,NA
"78",NA,NA,"CHEM100015840","dihomo_linolenoylcarnitine_c20_3n3 or 6","2373",TRUE,FALSE,1,"dihomo-linolenoylcarnitine (C20:3n3 or 6)*",NA,NA,NA,NA,FALSE,FALSE,NA
"79",NA,NA,"CHEM302_CHENO","deoxycholic_acid_chenodeoxycholic_acid","2397",TRUE,FALSE,1,"Deoxycholic_acid/Chenodeoxycholic_acid",NA,NA,NA,NA,FALSE,FALSE,NA
"80",NA,NA,"COMP39632_47658_AC38","3_hydroxy_cis_5_octenoyl carnitine or hexenedioyl carnitine","3025",TRUE,FALSE,1,"3-Hydroxy-cis-5-octenoyl carnitine or Hexenedioyl carnitine",NA,NA,NA,NA,FALSE,FALSE,NA
"81",NA,NA,"COMP46896","fructose 1_6_diphosphate_glucose 1_6_diphosphate_myo_inositol diphosphates_scal","3305",TRUE,FALSE,1,"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates [scal",NA,NA,NA,NA,FALSE,FALSE,NA
"82",NA,NA,"COMP52322","isoleucylleucine_leucylisoleucine","3445",TRUE,FALSE,1,"isoleucylleucine/leucylisoleucine",NA,NA,NA,NA,FALSE,FALSE,NA
"83",NA,NA,"COMP52415","leucylphenylalanine_isoleucylphenylalanine","3446",TRUE,FALSE,1,"leucylphenylalanine/isoleucylphenylalanine",NA,NA,NA,NA,FALSE,FALSE,NA
"84",NA,NA,"COMP54984","1_stearoyl_2_dihomo_linolenoyl_gpi_18_0_20_3n3 or 6","3554",TRUE,FALSE,1,"1-stearoyl-2-dihomo-linolenoyl-GPI (18:0/20:3n3 or 6)*",24767699,NA,NA,NA,FALSE,FALSE,NA
"85",NA,NA,"COMP57336","1_stearoyl_2_dihomo_linolenoyl_gpe_18_0_20_3n3 or 6","3568",TRUE,FALSE,1,"1-stearoyl-2-dihomo-linolenoyl-GPE (18:0/20:3n3 or 6)*",24768480,NA,NA,NA,FALSE,FALSE,NA
"86",NA,NA,"COMP61858","ribulonate_xylulonate","3610",TRUE,FALSE,1,"ribulonate/xylulonate*",NA,NA,NA,NA,FALSE,FALSE,NA
"87",NA,NA,"COMP61858","ribulonate_xylulonate_lyxonate","3611",TRUE,FALSE,1,"ribulonate/xylulonate/lyxonate*",NA,NA,NA,NA,FALSE,FALSE,NA
"88",NA,NA,"COMP61865_3HYDROX","3_hydroxy_eicosanoyl carnitine or octadecanedioyl carnitine","3625",TRUE,FALSE,1,"3-Hydroxy-eicosanoyl carnitine or Octadecanedioyl carnitine",NA,NA,NA,NA,FALSE,FALSE,NA
"89",NA,NA,"COMP62533","2_4 or 2_5_dimethylphenol sulfate","3762",TRUE,FALSE,1,"(2,4 or 2,5)-dimethylphenol sulfate",NA,NA,NA,NA,FALSE,FALSE,NA
"90",NA,NA,"COMP63436","2 or 3_decenoate_10_1n7 or n8","3940",TRUE,FALSE,1,"(2 or 3)-decenoate (10:1n7 or n8)",NA,NA,NA,NA,FALSE,FALSE,NA
"91",NA,NA,"COMP63688","deoxycholic acid_12 or 24_sulfate","3958",TRUE,FALSE,1,"deoxycholic acid (12 or 24)-sulfate*",NA,NA,NA,NA,FALSE,FALSE,NA
"92",NA,NA,"CSID18953394","lysopcac180 in plasma_micromole_l","3976",TRUE,FALSE,1,"lysopcac180 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"93",NA,NA,"CSID24608218","pcaec406 in plasma_micromole_l","3987",TRUE,FALSE,1,"pcaec406 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"94",NA,NA,"CSID24822210","pcaac281 in plasma_micromole_l","3992",TRUE,FALSE,1,"pcaac281 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"95",NA,NA,"CSID24822213","pcaac300 in plasma_micromole_l","3997",TRUE,FALSE,1,"pcaac300 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"96",NA,NA,"CSID24822327","pcaac360 in plasma_micromole_l","4005",TRUE,FALSE,1,"pcaac360 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
