"metabolite_id","input_metabolite_name","input_hmdb_id","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi","split_input_pubchem","split_reason","input_pubchem_final","metabolite_id_final","input_hmdb_id_final","input_kegg_final","input_chebi_final","input_chemspider_final","input_inchikey_final","input_metabolite_name_final","metabolite_id_final_1","metabolite_id_final_2","has_descriptive_terms","has_multiple_ids"
"CHEM100003650","valylvaline",NA,"409682;4280382",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","409682","CHEM100003650",NA,NA,NA,NA,NA,"valylvaline","CHEM100003650","CHEM100003650",FALSE,FALSE
"CHEM100003650","valylvaline",NA,"409682;4280382",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","4280382","CHEM100003650",NA,NA,NA,NA,NA,"valylvaline","CHEM100003650","CHEM100003650",FALSE,FALSE
"CHEM100003892","lanthionine",NA,"6994972;98504","88959",NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6994972","CHEM100003892",NA,NA,NA,"88959",NA,"lanthionine","CHEM100003892","CHEM100003892",FALSE,FALSE
"CHEM100003892","lanthionine",NA,"6994972;98504","88959",NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","98504","CHEM100003892",NA,NA,NA,"88959",NA,"lanthionine","CHEM100003892","CHEM100003892",FALSE,FALSE
"CHEM100003892","lanthionine",NA,"6994972;98504",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6994972","CHEM100003892",NA,NA,NA,NA,NA,"lanthionine","CHEM100003892","CHEM100003892",FALSE,FALSE
"CHEM100003892","lanthionine",NA,"6994972;98504",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","98504","CHEM100003892",NA,NA,NA,NA,NA,"lanthionine","CHEM100003892","CHEM100003892",FALSE,FALSE
"CHEM100004056","N-methyltaurine",NA,"6994586;7882","7594",NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6994586","CHEM100004056",NA,NA,NA,"7594",NA,"n_methyltaurine","CHEM100004056","CHEM100004056",FALSE,FALSE
"CHEM100004056","N-methyltaurine",NA,"6994586;7882","7594",NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","7882","CHEM100004056",NA,NA,NA,"7594",NA,"n_methyltaurine","CHEM100004056","CHEM100004056",FALSE,FALSE
"CHEM100005383","N-methylpipecolate",NA,"11862129;11286529",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","11862129","CHEM100005383",NA,NA,NA,NA,NA,"n_methylpipecolate","CHEM100005383","CHEM100005383",FALSE,FALSE
"CHEM100005383","N-methylpipecolate",NA,"11862129;11286529",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","11286529","CHEM100005383",NA,NA,NA,NA,NA,"n_methylpipecolate","CHEM100005383","CHEM100005383",FALSE,FALSE
"CHEM100005383","N-methylpipecolate",NA,"11862129;11286529","9461516",NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","11862129","CHEM100005383",NA,NA,NA,"9461516",NA,"n_methylpipecolate","CHEM100005383","CHEM100005383",FALSE,FALSE
"CHEM100005383","N-methylpipecolate",NA,"11862129;11286529","9461516",NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","11286529","CHEM100005383",NA,NA,NA,"9461516",NA,"n_methylpipecolate","CHEM100005383","CHEM100005383",FALSE,FALSE
"CHEM100005840","allo-isoleucine",NA,"6950182;99288",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6950182","CHEM100005840",NA,NA,NA,NA,NA,"allo_isoleucine","CHEM100005840","CHEM100005840",FALSE,FALSE
"CHEM100005840","allo-isoleucine",NA,"6950182;99288",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","99288","CHEM100005840",NA,NA,NA,NA,NA,"allo_isoleucine","CHEM100005840","CHEM100005840",FALSE,FALSE
"CHEM100006115","arabonate/xylonate",NA,"122045;6602431",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","122045","CHEM100006115",NA,NA,NA,NA,NA,"arabonate_xylonate","CHEM100006115","CHEM100006115",FALSE,FALSE
"CHEM100006115","arabonate/xylonate",NA,"122045;6602431",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","6602431","CHEM100006115",NA,NA,NA,NA,NA,"arabonate_xylonate","CHEM100006115","CHEM100006115",FALSE,FALSE
"CHEM100006430","arabitol/xylitol",NA,"6912;94154",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","6912","CHEM100006430",NA,NA,NA,NA,NA,"arabitol_xylitol","CHEM100006430","CHEM100006430",FALSE,FALSE
"CHEM100006430","arabitol/xylitol",NA,"6912;94154",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","94154","CHEM100006430",NA,NA,NA,NA,NA,"arabitol_xylitol","CHEM100006430","CHEM100006430",FALSE,FALSE
"CHEM100009232","thioproline",NA,"93176;6973609","84120",NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","93176","CHEM100009232",NA,NA,NA,"84120",NA,"thioproline","CHEM100009232","CHEM100009232",FALSE,FALSE
"CHEM100009232","thioproline",NA,"93176;6973609","84120",NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6973609","CHEM100009232",NA,NA,NA,"84120",NA,"thioproline","CHEM100009232","CHEM100009232",FALSE,FALSE
"COMP63738","ampicillin",NA,"2174;5244176",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","2174","COMP63738",NA,NA,NA,NA,NA,"ampicillin","COMP63738","COMP63738",FALSE,FALSE
"COMP63738","ampicillin",NA,"2174;5244176",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5244176","COMP63738",NA,NA,NA,NA,NA,"ampicillin","COMP63738","COMP63738",FALSE,FALSE
"HMDB00020","4-hydroxyphenylacetate","HMDB00020","4693933;127",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","4693933","HMDB00020","HMDB0000020",NA,NA,NA,NA,"4_hydroxyphenylacetate","HMDB00020","HMDB0000020",FALSE,FALSE
"HMDB00020","4-hydroxyphenylacetate","HMDB00020","4693933;127",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","127","HMDB00020","HMDB0000020",NA,NA,NA,NA,"4_hydroxyphenylacetate","HMDB00020","HMDB0000020",FALSE,FALSE
"HMDB00045","Adenosine 5'-monophosphate (AMP)","HMDB00045","15938965;6083",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","15938965","HMDB00045","HMDB0000045",NA,NA,NA,NA,"adenosine 5'_monophosphate_amp","HMDB00045","HMDB0000045",FALSE,FALSE
"HMDB00045","Adenosine 5'-monophosphate (AMP)","HMDB00045","15938965;6083",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","6083","HMDB00045","HMDB0000045",NA,NA,NA,NA,"adenosine 5'_monophosphate_amp","HMDB00045","HMDB0000045",FALSE,FALSE
"HMDB00045","adenosine 5'-monophosphate (AMP)","HMDB00045","15938965;6083",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","15938965","HMDB00045","HMDB0000045",NA,NA,NA,NA,"adenosine 5'_monophosphate_amp","HMDB00045","HMDB0000045",FALSE,FALSE
"HMDB00045","adenosine 5'-monophosphate (AMP)","HMDB00045","15938965;6083",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","6083","HMDB00045","HMDB0000045",NA,NA,NA,NA,"adenosine 5'_monophosphate_amp","HMDB00045","HMDB0000045",FALSE,FALSE
"HMDB00056","Beta-alanine","HMDB00056","239;4755801",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","239","HMDB00056","HMDB0000056",NA,NA,NA,NA,"beta_alanine","HMDB00056","HMDB0000056",FALSE,FALSE
"HMDB00056","Beta-alanine","HMDB00056","239;4755801",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","4755801","HMDB00056","HMDB0000056",NA,NA,NA,NA,"beta_alanine","HMDB00056","HMDB0000056",FALSE,FALSE
"HMDB00056","beta-alanine","HMDB00056","239;4755801",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","239","HMDB00056","HMDB0000056",NA,NA,NA,NA,"beta_alanine","HMDB00056","HMDB0000056",FALSE,FALSE
"HMDB00056","beta-alanine","HMDB00056","239;4755801",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","4755801","HMDB00056","HMDB0000056",NA,NA,NA,NA,"beta_alanine","HMDB00056","HMDB0000056",FALSE,FALSE
