"metabolite_id","input_metabolite_name","input_hmdb_id","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi"
"HMDB00640","1,6-anhydroglucose","HMDB00640","11412545;2724705",NA,"","",NA
"HMDB00684","Kynurenine","HMDB00684","161166;6971029",NA,"","",NA
"HMDB00684","kynurenine","HMDB00684","161166;6971029",NA,"","",NA
"HMDB00687","Leucine","HMDB00687","6106;7045798",NA,"","",NA
"HMDB00687","leucine","HMDB00687","6106;7045798",NA,"","",NA
"HMDB00699","1-methylnicotinamide","HMDB00699","10129985;10129990",NA,"","",NA
"HMDB00700","3-hydroxypropanoate","HMDB00700","5459847;68152",NA,"","",NA
"HMDB00708","Glycoursodeoxycholate","HMDB00708","12310288;12310290",NA,"","",NA
"HMDB00708","glycoursodeoxycholate","HMDB00708","12310288;12310290",NA,"","",NA
"HMDB00734","Indoleacrylate","HMDB00734","15030923;5375048",NA,"","",NA
"HMDB00847","Pelargonate (9:0)","HMDB00847","5461016;8158",NA,"","",NA
"HMDB00847","pelargonate (9:0)","HMDB00847","5461016;8158",NA,"","",NA
"HMDB00904","Citrulline","HMDB00904","833;9750",NA,"","",NA
"HMDB00904","citrulline","HMDB00904","833;9750",NA,"","",NA
"HMDB01138","N-acetylglutamate","HMDB01138","1549099;70914",NA,"","",NA
"HMDB01161","Deoxycarnitine","HMDB01161","134;725",NA,"","",NA
"HMDB01161","deoxycarnitine","HMDB01161","134;725",NA,"","",NA
"HMDB01325","N-6-trimethyllysine","HMDB01325","159659;440120",NA,"","",NA
"HMDB01434","3-methoxytyrosine","HMDB01434","1670;9307",NA,"","",NA
"HMDB01434","3-methoxytyrosine","HMDB01434","1670;9307",NA,"","",NA
"HMDB01565","choline phosphate","HMDB01565","135437;1014",NA,"","",NA
"HMDB01929","Ofloxacin","HMDB01929","3288597;4583",NA,"","",NA
"HMDB01929","ofloxacin","HMDB01929","3288597;4583",NA,"","",NA
"HMDB02013","Butyrylcarnitine","HMDB02013","213144;439829",NA,"","",NA
"HMDB02013","butyrylcarnitine","HMDB02013","213144;439829",NA,"","",NA
"HMDB02068","erucate (22:1n9)","HMDB02068","5281116;8216",NA,"","",NA
"HMDB02366","Tiglyl carnitine","HMDB02366","22833596;22833600",NA,"","",NA
"HMDB02366","tiglyl carnitine","HMDB02366","22833596;22833600",NA,"","",NA
"HMDB02925","Dihomo-linolenate (20:3n3 or n6)","HMDB02925","5312529;5280581",NA,"","",NA
"HMDB02925","dihomo-linolenate (20:3n3 or n6)","HMDB02925","5312529;5280581",NA,"","",NA
"HMDB03331","N1-methyladenosine","HMDB03331","5460178;27476",NA,"","",NA
"HMDB03331","N1-methyladenosine","HMDB03331","5460178;27476",NA,"","",NA
"HMDB03869","gamma-glutamyllysine","HMDB03869","65254;14284565",NA,"","",NA
"HMDB03869","gamma-glutamyllysine","HMDB03869","6525414284565;7015685",NA,"","",NA
"HMDB03869","gamma-glutamyl-epsilon-lysine","HMDB03869","7015684;7015685",5378717,"","",NA
"HMDB03869","gamma-glutamyllysine","HMDB03869","65254;14284565",NA,"","",NA
"HMDB03869","gamma-glutamyl-epsilon-lysine","","65254;14284565",NA,"","",NA
"HMDB04044","N6-methyladenosine","HMDB04044","102175;1869",NA,"","",NA
"HMDB04705","12,13-hydroxyoctadec-9(Z)-enoate","HMDB04705","10236635;10236640",NA,"","",NA
"HMDB05015","gabapentin","HMDB05015","3446;6919078",NA,"","",NA
"HMDB05015","gabapentin","HMDB05015","3446;6919078",3328,"D00332","",NA
"HMDB05015","gabapentin","HMDB05015","3446;6919078",NA,"","",NA
"HMDB05065","oleoylcarnitine","HMDB05065","6441392;53477789",NA,"","",NA
"HMDB05065","Oleoylcarnitine","HMDB05065","6441392;53477789",NA,"","",NA
"HMDB05065","oleoylcarnitine","HMDB05065","6441392;53477789",NA,"","",NA
"HMDB05065","oleoylcarnitine (C18:1)","HMDB05065","6441392;53477789",21403150,"","",NA
"HMDB05065","oleoylcarnitine","HMDB05065","6441392;53477789",NA,"","",NA
"HMDB05065","oleoylcarnitine","","6441392;53477789",NA,"","",NA
"HMDB05065","oleoylcarnitine","HMDB05065","6441392;53477789",NA,"","",NA
"HMDB05065","oleoylcarnitine","","6441392;53477789",NA,"","",NA
"HMDB05066","myristoylcarnitine","HMDB05066","6426854;53477791",NA,"","",NA
"HMDB06344","Phenylacetylglutamine","HMDB06344","306137;92258",NA,"","",NA
"HMDB06344","phenylacetylglutamine","HMDB06344","306137;92258",NA,"","",NA
"HMDB08923","1,2-dipalmitoyl-GPE (16:0/16:0)*","","11802774;445468",393103,"","",NA
"HMDB10316","P-acetamidophenylglucuronide","HMDB10316","4022661;83944",NA,"","",NA
"HMDB10316","p-acetamidophenylglucuronide","HMDB10316","4022661;83944",NA,"","",NA
"HMDB11170","Gamma-glutamylisoleucine*","HMDB11170","14253342;14253340",NA,"","",NA
"HMDB11170","gamma-glutamylisoleucine*","HMDB11170","14253342;14253340",NA,"","",NA
"HMDB11178","prolylglycine","","7408076;6426709",NA,"","",NA
"HMDB11178","prolylglycine","","7408076;6426709",4932143,"","",NA
"HMDB11178","prolylglycine","","7408076;6426709",NA,"","",NA
"HMDB11635","P-cresol sulfate","HMDB11635","4615422;4615423",NA,"","",NA
"HMDB11635","p-cresol sulfate","HMDB11635","4615422;4615423",NA,"","",NA
"HMDB13127","X - 12465","HMDB13127","53481617;53481620",NA,"","",NA
"HMDB13127","hydroxybutyrylcarnitine*","HMDB13127","53481617;53481620",NA,"","",NA
"HMDB13130","Glutaroyl carnitine","HMDB13130","71464488;71464490",NA,"","",NA
"HMDB13130","glutarylcarnitine (C5)","HMDB13130","71464488;71464490",NA,"","",NA
"HMDB13302","phenylalanylphenylalanine","","6993090;6993089",NA,"","",NA
