"uid_01","hmdb_id","biochemical"
"C18_3_CE_+NH4#HMDB10370","#HMDB0010370","C18:3 CE +NH4#CE(18:3(9Z,12Z,15Z))"
"C20_3_CE_+NH4#HMDB06736","#HMDB0006736","C20:3 CE +NH4#CE(20:3(8Z,11Z,14Z))"
"C20_4_CE_+NH4#HMDB06726","#HMDB0006726","C20:4 CE +NH4#CE(20:4(5Z,8Z,11Z,14Z))"
"C20_5_CE_+NH4#HMDB06731","#HMDB0006731","C20:5 CE +NH4#CE(20:5(5Z,8Z,11Z,14Z,17Z)"
"C22_4_CE_+NH4#HMDB06729","#HMDB0006729","C22:4 CE +NH4#CE(22:4(7Z,10Z,13Z,16Z))"
"C22_5_CE_+NH4#HMDB10375","#HMDB0010375","C22:5 CE +NH4#CE(22:5(7Z,10Z,13Z,16Z,19Z))"
"C22_6_CE_+NH4#HMDB06733","#HMDB0006733","C22:6 CE +NH4#CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
"CHEM100015620#HMDB04953","#HMDB0004953","Lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*#Cer(d18:1/24:1(15Z))"
"CHEM100015735#ME056353","#","Ceramide (d18:1/14:0, d16:1/16:0)*#Cer (d32:1)"
"CHEM100015755#ME056358","#","Ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*#Cer (d38:1)"
"CHEM100015727#ME056361","#","Ceramide (d16:1/24:1, d18:1/22:1)*#Cer (d40:2)"
"HMDB00067#PUBCHEM5997","HMDB0000067#","Cholesterol#Cholesterol"
"HMDB00904#HMDB00904_B1","HMDB0000904#HMDB0000904","Citrulline#Citrulline"
"HMDB00078#PUBCHEM174707","HMDB0000078#","Cysteinylglycine#Cysteine-glycine"
"CHEM100002178#CHEM302","HMDB0000626#HMDB0000626","Deoxycholic acid#Deoxycholic acid"
"CHEM100010916#CHEM100010917#HMDB07102","HMDB0007102#HMDB0007102#HMDB0007102","DG(16:0/18:1(9Z)/0:0)#DG(16:0/18:1(9Z)/0:0)#DG(16:0/18:1(9Z)/0:0)"
"CHEM100010918#CHEM100010919#HMDB07218","HMDB0007218#HMDB0007218#HMDB0007218","DG(18:1(9Z)/18:1(9Z)/0:0)#DG(18:1(9Z)/18:1(9Z)/0:0)#DG(18:1(9Z)/18:1(9Z)/0:0)"
"CHEM100002989#CHEM100002990#HMDB07219","HMDB0007219#HMDB0007219#HMDB0007219","DG(18:1(9Z)/18:2(9Z,12Z)/0:0)#DG(18:1(9Z)/18:2(9Z,12Z)/0:0)#DG(18:1(9Z)/18:2(9Z,12Z)/0:0)"
"CHEM100010948#HMDB07098#HMDB31011","#HMDB0007098#HMDB0031011","Palmitoyl-palmitoyl-glycerol (16:0/16:0) [2]*#DG(16:0/16:0/0:0)#Glycerol 1,3-dihexadecanoate"
"CHEM100010916#CHEM100010917","HMDB0007102#HMDB0007102","DG(16:0/18:1(9Z)/0:0)#DG(16:0/18:1(9Z)/0:0)"
"CHEM100010924#CHEM100010925","HMDB0007112#HMDB0007112","DG(16:0/20:4(5Z,8Z,11Z,14Z)/0:0)#DG(16:0/20:4(5Z,8Z,11Z,14Z)/0:0)"
"CHEM100009054#HMDB07131","#HMDB05222","1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*#DG(16:1(9Z)/18:1(9Z)/0:0)"
"CHEM100010949#CHEM100010950","#","Stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*#Stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*"
"CHEM100010918#CHEM100010919","HMDB0007218#HMDB0007218","DG(18:1(9Z)/18:1(9Z)/0:0)#DG(18:1(9Z)/18:1(9Z)/0:0)"
"CHEM100002989#CHEM100002990#CHEM100006252","HMDB0007219#HMDB0007219#","DG(18:1(9Z)/18:2(9Z,12Z)/0:0)#DG(18:1(9Z)/18:2(9Z,12Z)/0:0)#Oleoyl-linoleoyl-glycerol"
"CHEM100010936#CHEM100010937","HMDB0007228#HMDB0007228","DG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)#DG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)"
"CHEM100010926#HMDB07250","#HMDB0007250","Linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]*#DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)"
