Unnamed: 0,input_hmdb_id,input_pubchem,metabolite_id,input_metabolite_name_final,original_index,contains_original,contains_derived,n_source_rows,input_metabolite_name,input_chemspider,input_kegg,input_inchikey,input_chebi,multiple_identifiers,multiple_isomers,original
17,HMDB0000072,,HMDB00072_HMDB00958,aconitate_trans,17,True,False,,aconitate [trans],,C00417,,,False,True,True
18,HMDB0000215,24139,HMDB0000212_HMDB00215,n_acetylglucosamine_n_acetylgalactosamine,4254,True,False,1.0,N-acetylglucosamine/N-acetylgalactosamine,,,,,False,True,
18,HMDB0000215,24139,HMDB0000212_HMDB00215,n_acetylglucosamine,18,True,False,1.0,N-acetylglucosamine,,,,,False,True,
18,HMDB0000215,24139,HMDB0000212_HMDB00215,n_acetylgalactosamine,18,True,False,1.0,N-acetylgalactosamine,,,,,False,True,
19,HMDB0000247,5780,CHEM100001740,mannitol_sorbitol,1764,True,False,1.0,mannitol/sorbitol,440.0,C01507,,,False,True,
19,HMDB0000247,5780,CHEM100001740,mannitol,19,True,False,1.0,mannitol,440.0,C01507,,,False,True,
19,HMDB0000247,5780,CHEM100001740,sorbitol,19,True,False,1.0,sorbitol,440.0,C01507,,,False,True,
20,HMDB0000286,,HMDB00286,udp_galactose_udp_glucose,5023,True,False,1.0,UDP-galactose/UDP-glucose,,,,,False,True,
20,HMDB0000286,,HMDB00286,udp_galactose,20,True,False,1.0,UDP-galactose,,,,,False,True,
20,HMDB0000286,,HMDB00286,udp_glucose,20,True,False,1.0,UDP-glucose,,,,,False,True,
21,HMDB0000488,5799469,HMDB00488,bilirubin_e_z or z_e,5154,True,False,1.0,"bilirubin (E,Z or Z,E)*",4705847.0,,,,False,True,
21,HMDB0000488,5799469,HMDB00488,bilirubin_e_z_,21,True,False,1.0,"bilirubin (E,Z) *",4705847.0,,,,False,True,
21,HMDB0000488,5799469,HMDB00488,bilirubin_z_e_,21,True,False,1.0,"bilirubin (Z,E) *",4705847.0,,,,False,True,
22,HMDB0000626,440355,CHEM100002178,deoxycholate_chenodeoxycholate,1879,True,False,1.0,deoxycholate/chenodeoxycholate,,,,,False,True,
22,HMDB0000626,440355,CHEM100002178,deoxycholate,22,True,False,1.0,deoxycholate,,,,,False,True,
22,HMDB0000626,440355,CHEM100002178,chenodeoxycholate,22,True,False,1.0,chenodeoxycholate,,,,,False,True,
23,HMDB0000631,,HMDB00631,glycodeoxycholate_glycochenodeoxycholate,5249,True,False,1.0,glycodeoxycholate/glycochenodeoxycholate,,,,,False,True,
23,HMDB0000631,,HMDB00631,glycodeoxycholate,23,True,False,1.0,glycodeoxycholate,,,,,False,True,
23,HMDB0000631,,HMDB00631,glycochenodeoxycholate,23,True,False,1.0,glycochenodeoxycholate,,,,,False,True,
24,HMDB0000874,,HMDB00874,taurohyodeoxycholate_tauroursodeoxycholate,5640,True,False,1.0,taurohyodeoxycholate/tauroursodeoxycholate,,,,,False,True,
24,HMDB0000874,,HMDB00874,taurohyodeoxycholate,24,True,False,1.0,taurohyodeoxycholate,,,,,False,True,
24,HMDB0000874,,HMDB00874,tauroursodeoxycholate,24,True,False,1.0,tauroursodeoxycholate,,,,,False,True,
25,HMDB0000958,,HMDB00072_HMDB00958,aconitate_cis or trans,8022,False,True,,aconitate [cis or trans],,C02341,,,True,True,False
25,HMDB0000958,,HMDB00072_HMDB00958,aconitate_cis,25,False,True,,aconitate [cis],,C02341,,,True,True,False
25,HMDB0000958,,HMDB00072_HMDB00958,aconitate_trans,25,False,True,,aconitate [trans],,C02341,,,True,True,False
26,HMDB0001388,,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3 or 6,5849|8076,True,True,2.0,linolenate [alpha or gamma; (18:3n3 or 6)],,C06427,,,False,True,
26,HMDB0001388,,HMDB01388_HMDB03073,linolenate_alpha__18_3n3,26,True,True,2.0,linolenate [alpha; (18:3n3)],,C06427,,,False,True,
26,HMDB0001388,,HMDB01388_HMDB03073,linolenate_gamma__18_3n6,26,True,True,2.0,linolenate [gamma; (18:3n6)],,C06427,,,False,True,
27,HMDB0001388,5280934,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3 or 6,8074|8075,False,True,2.0,Linolenate _alpha or gamma; (18:3n3 or 6)_,,,,,True,True,
