"X","CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","LIPID.SPECIES.LEVEL","LIPID.MOLECULAR.SPECIES.LEVEL","LIPID.SN.POSITION.LEVEL","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","PLATFORM","CHEMICAL_NAME_final","original_index","final_metabolite_id","metabolite_id_origin","Standardized name"
5,2048,209,45721,145263,"Xenobiotics","Drug - Analgesics, Anesthetics",5421,"NAMED","DVPRQNKJGQEICH-JTQLQIEISA-N","O=C(C)NC1=CC(SC[C@@H](C(O)=O)NC(C)=O)=C(O)C=C1","3-(N-acetyl-cystein-S-yl) acetaminophen","3-(N-acetyl-cystein-S-yl) acetaminophen",NA,NA,NA,"52372-86-8","75765",NA,NA,"83967","Neg","3_n_acetyl_cystein_s_yl_acetaminophen",200,"3_n_acetyl_cystein_s_yl_acetaminophen","sample_cohort","3-(N-Acetyl-L-cystein-S-yl) acetaminophen"
6,100000579,400,22196,221338,"Xenobiotics","Drug - Neurological",5882,"NAMED","INGSNVSERUZOAK-UHFFFAOYSA-N","O=C(O)C(C1CCCCN1)C2=CC=CC=C2","ritalinic acid","ritalinic acid",NA,NA,NA,"19395-41-6","78360","HMDB0042008",NA,"86863","Pos Early","ritalinic acid",242,"ritalinic acid","sample_cohort","Ritalinic acid"
6,100000579,400,22196,221338,"Xenobiotics","Drug - Neurological",5882,"NAMED","INGSNVSERUZOAK-UHFFFAOYSA-N","O=C(O)C(C1CCCCN1)C2=CC=CC=C2","ritalinic acid","ritalinic acid",NA,NA,NA,"19395-41-6","78360","HMDB0042008",NA,"86863","Pos Early","ritalinic acid",242,"ritalinic acid","sample_cohort","Ritalinic acid"
6,100000579,400,22196,221338,"Xenobiotics","Drug - Neurological",5882,"NAMED","INGSNVSERUZOAK-UHFFFAOYSA-N","O=C(O)C(C1CCCCN1)C2=CC=CC=C2","ritalinic acid","ritalinic acid",NA,NA,NA,"19395-41-6","78360","HMDB0042008",NA,"86863","Pos Early","ritalinic acid",242,"ritalinic acid","sample_cohort","Ritalinic acid"
7,100000611,402,20458,164193,"Lipid","Lysoplasmalogen",2856,"NAMED","VLBPIWYTPAXCFJ-XMMPIXPASA-N","CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)O","1-palmityl-GPC (O-16:0)","1-palmityl-GPC (O-16:0)","LPC O-16:0","LPC O-16:0","LPC O-16:0/0:0","52691-62-0","3845",NA,NA,"3983","Pos Late","1_palmityl_gpc_o_16_0",244,"1_palmityl_gpc_o_16_0","sample_cohort",NA
8,100000630,402,19260,161188,"Lipid","Lysophospholipid",2727,"NAMED","JZWNYZVVZXZRRH-YFKVPUFHSA-N","CCCCCCCC\C=C/CCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)O)=O","1-oleoyl-GPS (18:1)","1-oleoyl-GPS (18:1)","LPS 18:1","LPS 18:1","LPS 18:1/0:0","326589-90-6","7826049","HMDB0061694",NA,"85036846","Pos Late","1_oleoyl_gps_18_1",247,"1_oleoyl_gps_18_1","sample_cohort","LPS 18:1/0:0"
8,100000630,402,19260,161188,"Lipid","Lysophospholipid",2727,"NAMED","JZWNYZVVZXZRRH-YFKVPUFHSA-N","CCCCCCCC\C=C/CCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)O)=O","1-oleoyl-GPS (18:1)","1-oleoyl-GPS (18:1)","LPS 18:1","LPS 18:1","LPS 18:1/0:0","326589-90-6","7826049","HMDB0061694",NA,"85036846","Pos Late","1_oleoyl_gps_18_1",247,"1_oleoyl_gps_18_1","sample_cohort","LPS 18:1(9Z)/0:0"
8,100000630,402,19260,161188,"Lipid","Lysophospholipid",2727,"NAMED","JZWNYZVVZXZRRH-YFKVPUFHSA-N","CCCCCCCC\C=C/CCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)O)=O","1-oleoyl-GPS (18:1)","1-oleoyl-GPS (18:1)","LPS 18:1","LPS 18:1","LPS 18:1/0:0","326589-90-6","7826049","HMDB0061694",NA,"85036846","Pos Late","1_oleoyl_gps_18_1",247,"1_oleoyl_gps_18_1","sample_cohort","LPS 18:1(9Z)/0:0"
8,100000630,402,19260,161188,"Lipid","Lysophospholipid",2727,"NAMED","JZWNYZVVZXZRRH-YFKVPUFHSA-N","CCCCCCCC\C=C/CCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)O)=O","1-oleoyl-GPS (18:1)","1-oleoyl-GPS (18:1)","LPS 18:1","LPS 18:1","LPS 18:1/0:0","326589-90-6","7826049","HMDB0061694",NA,"85036846","Pos Late","1_oleoyl_gps_18_1",247,"1_oleoyl_gps_18_1","sample_cohort","LPS 18:1(9Z)/0:0"
8,100000630,402,19260,161188,"Lipid","Lysophospholipid",2727,"NAMED","JZWNYZVVZXZRRH-YFKVPUFHSA-N","CCCCCCCC\C=C/CCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)O)=O","1-oleoyl-GPS (18:1)","1-oleoyl-GPS (18:1)","LPS 18:1","LPS 18:1","LPS 18:1/0:0","326589-90-6","7826049","HMDB0061694",NA,"85036846","Pos Late","1_oleoyl_gps_18_1",247,"1_oleoyl_gps_18_1","sample_cohort","LPS 18:1(9Z)*"
8,100000630,402,19260,161188,"Lipid","Lysophospholipid",2727,"NAMED","JZWNYZVVZXZRRH-YFKVPUFHSA-N","CCCCCCCC\C=C/CCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)O)=O","1-oleoyl-GPS (18:1)","1-oleoyl-GPS (18:1)","LPS 18:1","LPS 18:1","LPS 18:1/0:0","326589-90-6","7826049","HMDB0061694",NA,"85036846","Pos Late","1_oleoyl_gps_18_1",247,"1_oleoyl_gps_18_1","sample_cohort","LPS 18:1(9Z)/0:0"
8,100000630,402,19260,161188,"Lipid","Lysophospholipid",2727,"NAMED","JZWNYZVVZXZRRH-YFKVPUFHSA-N","CCCCCCCC\C=C/CCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)O)=O","1-oleoyl-GPS (18:1)","1-oleoyl-GPS (18:1)","LPS 18:1","LPS 18:1","LPS 18:1/0:0","326589-90-6","7826049","HMDB0061694",NA,"85036846","Pos Late","1_oleoyl_gps_18_1",247,"1_oleoyl_gps_18_1","sample_cohort","LPS 18:1"
8,100000630,402,19260,161188,"Lipid","Lysophospholipid",2727,"NAMED","JZWNYZVVZXZRRH-YFKVPUFHSA-N","CCCCCCCC\C=C/CCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)O)=O","1-oleoyl-GPS (18:1)","1-oleoyl-GPS (18:1)","LPS 18:1","LPS 18:1","LPS 18:1/0:0","326589-90-6","7826049","HMDB0061694",NA,"85036846","Pos Late","1_oleoyl_gps_18_1",247,"1_oleoyl_gps_18_1","sample_cohort","LPS 18:1(9Z)*"
8,100000630,402,19260,161188,"Lipid","Lysophospholipid",2727,"NAMED","JZWNYZVVZXZRRH-YFKVPUFHSA-N","CCCCCCCC\C=C/CCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)O)=O","1-oleoyl-GPS (18:1)","1-oleoyl-GPS (18:1)","LPS 18:1","LPS 18:1","LPS 18:1/0:0","326589-90-6","7826049","HMDB0061694",NA,"85036846","Pos Late","1_oleoyl_gps_18_1",247,"1_oleoyl_gps_18_1","sample_cohort","LPS 18:1"
8,100000630,402,19260,161188,"Lipid","Lysophospholipid",2727,"NAMED","JZWNYZVVZXZRRH-YFKVPUFHSA-N","CCCCCCCC\C=C/CCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)O)=O","1-oleoyl-GPS (18:1)","1-oleoyl-GPS (18:1)","LPS 18:1","LPS 18:1","LPS 18:1/0:0","326589-90-6","7826049","HMDB0061694",NA,"85036846","Pos Late","1_oleoyl_gps_18_1",247,"1_oleoyl_gps_18_1","sample_cohort","LPS 18:1(9Z)*"
